direction,start time,end time,pack time,pack num,pack chars,assistant num
send,1678853679.3767657,1678853681.5724893,2.195723533630371,6,1830,['30000003']
send,1678853684.4358747,1678853686.5110774,2.075202703475952,1,334,['30000003']
send,1678853690.2677639,1678853691.324764,1.0570001602172852,6,1431,['30000003']
send,1678853692.5868456,1678853694.5730362,1.9861905574798584,5,1358,['30000002']
send,1678853695.4179869,1678853696.0585337,0.6405467987060547,3,798,['30000002']
send,1678853698.2297344,1678853699.4799297,1.2501952648162842,1,275,['30000002']
send,1678853703.6045055,1678853704.3516076,0.7471020221710205,6,1569,['30000002']
send,1678853704.643605,1678853705.1554852,0.5118801593780518,6,1863,['30000002']
send,1678853706.3385854,1678853708.7008767,2.3622913360595703,1,281,['30000002']
send,1678853710.5021846,1678853712.2593827,1.7571980953216553,2,420,['30000002']
send,1678853713.2845895,1678853714.3006878,1.0160982608795166,1,221,['30000002']
send,1678853717.9830937,1678853719.5201836,1.5370898246765137,6,1625,['30000002']
send,1678853724.084633,1678853725.6129336,1.5283005237579346,6,1745,['30000002']
send,1678853739.4587603,1678853747.3100758,7.851315498352051,2,524,['30000002']
send,1678853779.0000324,1678853779.1911876,0.19115519523620605,6,1525,['30000003']
send,1678853782.7823806,1678853791.1306698,8.348289251327515,3,797,['30000003']
send,1678853822.0955265,1678853831.4251006,9.32957410812378,4,989,['30000003']
