record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853626.9447227,1678853609.9308217,0,120978,5402.925317477737,"[['40000002', 0, 1678853626.9127226], ['50000015', 136, 1678853626.9447227]]","[['50000015', 0, 1678853609.9758213], ['40000002', 136, 1678853626.5427234]]"
1678853633.593546,1678853610.0098689,0,122842,5757.989977025148,"[['40000002', 0, 1678853632.9815426], ['50000015', 136, 1678853633.593546]]","[['50000015', 0, 1678853610.0598795], ['40000002', 136, 1678853627.2857199]]"
1678853643.395226,1678853610.0478673,0,123992,5908.594595224812,"[['40000002', 0, 1678853643.3301234], ['50000015', 136, 1678853643.395226]]","[['50000015', 0, 1678853610.0858698], ['40000002', 136, 1678853643.1861253]]"
1678853649.070127,1678853610.121868,0,126183,6454.11694736049,"[['40000002', 0, 1678853648.617022], ['50000015', 136, 1678853649.070127]]","[['50000015', 0, 1678853610.1698198], ['40000002', 136, 1678853647.67962]]"
1678853654.6936362,1678853610.2948678,0,128034,6881.256221615884,"[['40000003', 0, 1678853654.6305406], ['50000015', 144, 1678853654.6936362]]","[['50000015', 0, 1678853610.311871], ['40000003', 144, 1678853651.436268]]"
1678853657.4898984,1678853610.1978204,0,129174,6991.590125691297,"[['40000002', 0, 1678853657.444898], ['50000015', 136, 1678853657.4898984]]","[['50000015', 0, 1678853610.2398689], ['40000002', 136, 1678853657.3028343]]"
1678853660.8360302,1678853610.2568212,0,130665,7325.011432749283,"[['40000002', 0, 1678853660.4100301], ['50000015', 136, 1678853660.8360302]]","[['50000015', 0, 1678853610.286869], ['40000002', 136, 1678853657.529898]]"
1678853676.3628147,1678853610.4708707,0,132878,7779.446769618493,"[['40000002', 0, 1678853675.800815], ['50000015', 136, 1678853676.3628147]]","[['50000015', 0, 1678853610.4908693], ['40000002', 136, 1678853672.5429251]]"
1678853679.0916712,1678853609.736821,0,134284,7943.60124714578,"[['30000002', 0, 1678853610.6379457], ['40000003', 118, 1678853678.955672], ['50000015', 144, 1678853679.0916712]]","[['50000015', 0, 1678853609.7518673], ['40000002', 136, 1678853610.270821], ['30000002', 122, 1678853610.569945]]"
1678853682.7035868,1678853610.5068219,0,135422,7989.9879932923595,"[['40000002', 0, 1678853682.4075892], ['50000015', 136, 1678853682.7035868]]","[['50000015', 0, 1678853610.532045], ['40000002', 136, 1678853680.0437708]]"
1678853690.231764,1678853610.5509467,0,137629,8684.766909385378,"[['40000002', 0, 1678853690.1837642], ['50000015', 136, 1678853690.231764]]","[['50000015', 0, 1678853610.5839446], ['40000002', 136, 1678853690.0998497]]"
1678853692.5878453,1678853610.5829005,0,138781,8713.30811271788,"[['40000002', 0, 1678853692.352842], ['50000015', 136, 1678853692.5878453]]","[['50000015', 0, 1678853610.6209447], ['40000002', 136, 1678853690.2447639]]"
1678853699.22793,1678853610.6259465,0,140625,9103.880450402523,"[['40000002', 0, 1678853698.4938323], ['50000015', 136, 1678853699.22793]]","[['50000015', 0, 1678853610.6819446], ['40000002', 136, 1678853692.385841]]"
1678853702.9885054,1678853610.6819446,0,142122,9443.409716027152,"[['40000002', 0, 1678853702.8365045], ['50000015', 136, 1678853702.9885054]]","[['50000015', 0, 1678853610.735948], ['40000002', 136, 1678853696.0545363]]"
1678853704.4136038,1678853610.9369466,0,143272,9549.063319064964,"[['40000003', 0, 1678853704.1976047], ['50000015', 144, 1678853704.4136038]]","[['50000015', 0, 1678853610.9759443], ['40000003', 144, 1678853703.4685009]]"
1678853715.7357888,1678853611.10319,0,144418,9553.540842176339,"[['40000003', 0, 1678853715.3127885], ['50000015', 144, 1678853715.7357888]]","[['50000015', 0, 1678853611.1151803], ['40000003', 144, 1678853709.3085942]]"
1678853717.1038904,1678853609.7668202,0,146183,9944.09994844552,"[['30000002', 0, 1678853611.1641877], ['40000003', 118, 1678853716.75089], ['50000015', 144, 1678853717.1038904]]","[['50000015', 0, 1678853609.7818208], ['40000002', 136, 1678853610.6639512], ['30000002', 122, 1678853611.0159488]]"
1678853744.8342686,1678853611.4221833,0,149455,10546.751531735272,"[['40000002', 0, 1678853744.4431674], ['50000015', 136, 1678853744.8342686]]","[['50000015', 0, 1678853611.4492433], ['40000002', 136, 1678853740.1787617]]"
1678853770.769755,1678853626.1797237,0,152412,11071.128485243364,"[['40000002', 0, 1678853770.7407563], ['50000015', 136, 1678853770.769755]]","[['50000015', 0, 1678853626.2047236], ['40000002', 136, 1678853762.2823644]]"
1678853772.825839,1678853626.2577238,0,153915,11308.746377057745,"[['40000002', 0, 1678853772.4168394], ['50000015', 136, 1678853772.825839]]","[['50000015', 0, 1678853626.3007228], ['40000002', 136, 1678853770.7087586]]"
1678853775.000646,1678853626.377724,0,155057,11656.799287323596,"[['40000003', 0, 1678853774.7655478], ['50000015', 144, 1678853775.000646]]","[['50000015', 0, 1678853626.3967233], ['40000003', 144, 1678853771.0127516]]"
1678853782.0033815,1678853626.5147233,0,156942,12314.61902971042,"[['40000003', 0, 1678853781.614381], ['50000015', 144, 1678853782.0033815]]","[['50000015', 0, 1678853626.5667226], ['40000003', 144, 1678853778.1089022]]"
1678853783.7694771,1678853609.798869,0,158715,12521.048277196034,"[['30000002', 0, 1678853626.6477246], ['40000003', 118, 1678853783.5614812], ['50000015', 144, 1678853783.7694771]]","[['50000015', 0, 1678853609.8318694], ['40000002', 136, 1678853611.4482381], ['30000002', 122, 1678853626.4497228]]"
1678853790.3064735,1678853626.7357228,0,160211,13045.157020253026,"[['40000002', 0, 1678853790.1364703], ['50000015', 136, 1678853790.305473]]","[['50000015', 0, 1678853626.7627227], ['40000002', 136, 1678853784.159065]]"
1678853838.4093878,1678853609.8458753,0,161881,13848.825233373102,"[['20000002', 0, 1678853642.493123], ['30000003', 100, 1678853663.1668577], ['40000003', 140, 1678853838.187388], ['50000015', 144, 1678853838.4093878]]","[['50000015', 0, 1678853609.876868], ['40000002', 136, 1678853612.0431817], ['30000002', 122, 1678853626.957723], ['20000002', 126, 1678853634.9527245]]"
1678853842.2234957,1678853610.0828223,0,163293,14258.167725741454,"[['30000002', 0, 1678853685.2919707], ['40000003', 118, 1678853841.7844956], ['50000015', 144, 1678853842.2234957]]","[['50000015', 0, 1678853610.1278226], ['40000002', 136, 1678853646.300518], ['30000002', 122, 1678853683.2967908]]"
1678853843.4806874,1678853610.5759451,0,164707,14313.168001974764,"[['30000003', 0, 1678853690.3397634], ['40000003', 140, 1678853843.288595], ['50000015', 144, 1678853843.4806874]]","[['50000027', 0, 1678853610.584946], ['40000005', 113, 1678853651.5673666], ['30000003', 146, 1678853690.1377645]]"
1678853847.75235,1678853610.5138676,0,166119,14647.138872270169,"[['30000003', 0, 1678853690.0484846], ['40000003', 140, 1678853847.5333536], ['50000015', 144, 1678853847.75235]]","[['50000029', 0, 1678853610.5569453], ['40000005', 100, 1678853649.2381687], ['30000003', 146, 1678853689.8784883]]"
