record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853609.9688213,1678853609.5935144,0,12332,1014.7055593278521,"[['40000001', 0, 1678853609.904868], ['50000004', 105, 1678853609.9688213]]","[['50000004', 0, 1678853609.5955153], ['40000001', 105, 1678853609.7818208]]"
1678853611.4271817,1678853609.658645,0,51989,4282.347726447018,"[['40000001', 0, 1678853611.4041855], ['50000004', 105, 1678853611.4271817]]","[['50000004', 0, 1678853609.718821], ['40000001', 105, 1678853610.521823]]"
1678853615.4077792,1678853609.7178206,0,55525,4627.9983491853445,"[['40000001', 0, 1678853614.6336749], ['50000004', 105, 1678853615.4077792]]","[['50000004', 0, 1678853609.7958674], ['40000001', 105, 1678853611.6081831]]"
1678853631.6683228,1678853609.8408675,0,78363,6462.852436453479,"[['40000001', 0, 1678853631.624324], ['50000004', 105, 1678853631.6683228]]","[['50000004', 0, 1678853609.9028697], ['40000001', 105, 1678853626.8017268]]"
1678853648.8371265,1678853609.9648204,0,93480,8170.521031383938,"[['40000001', 0, 1678853648.7611265], ['50000004', 105, 1678853648.8371265]]","[['50000004', 0, 1678853610.0468724], ['40000001', 105, 1678853647.695665]]"
1678853656.116735,1678853610.0278685,0,94630,8302.671303831146,"[['40000001', 0, 1678853656.0217369], ['50000004', 105, 1678853656.116735]]","[['50000004', 0, 1678853610.1078677], ['40000001', 105, 1678853653.5045402]]"
1678853660.9340289,1678853610.086868,0,96489,8498.826429775661,"[['40000001', 0, 1678853660.6610298], ['50000004', 105, 1678853660.9340289]]","[['50000004', 0, 1678853610.1748202], ['40000001', 105, 1678853657.5878983]]"
1678853689.6154883,1678853610.3518207,0,98345,9205.231769045771,"[['40000001', 0, 1678853689.0654874], ['50000004', 105, 1678853689.6144884]]","[['50000004', 0, 1678853610.4148228], ['40000001', 105, 1678853686.7970767]]"
1678853691.3057637,1678853610.4588678,0,99837,9694.819286442596,"[['40000001', 0, 1678853690.8657644], ['50000004', 105, 1678853691.3057637]]","[['50000004', 0, 1678853610.478869], ['40000001', 105, 1678853690.1997657]]"
1678853773.2338417,1678853611.2881925,0,106372,11310.109259211875,"[['40000001', 0, 1678853773.0748394], ['50000004', 105, 1678853773.2338417]]","[['50000004', 0, 1678853611.3141813], ['40000001', 105, 1678853770.9797568]]"
1678853802.6371918,1678853626.278723,0,108939,12043.492785548586,"[['40000001', 0, 1678853802.3641925], ['50000004', 105, 1678853802.6371918]]","[['50000004', 0, 1678853626.320786], ['40000001', 105, 1678853799.7553997]]"
