record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.8889458,1678853610.2038214,0,15501,1117.1282911993976,"[['40000006', 0, 1678853610.7969482], ['50000039', 129, 1678853610.8889458]]","[['50000039', 0, 1678853610.2208202], ['40000006', 129, 1678853610.5288732]]"
1678853626.3237827,1678853610.3588202,0,31434,2486.7699517402207,"[['40000006', 0, 1678853626.2517235], ['50000039', 129, 1678853626.3237827]]","[['50000039', 0, 1678853610.4298232], ['40000006', 129, 1678853623.897939]]"
1678853630.8072236,1678853610.4708707,0,45590,3918.0443451611877,"[['40000006', 0, 1678853630.49314], ['50000039', 129, 1678853630.8062203]]","[['50000039', 0, 1678853610.4938676], ['40000006', 129, 1678853626.8337247]]"
1678853644.891326,1678853610.549962,0,55185,5061.543876052017,"[['40000006', 0, 1678853644.7473261], ['50000039', 129, 1678853644.891326]]","[['50000039', 0, 1678853610.6119542], ['40000006', 129, 1678853643.2891228]]"
1678853649.4901712,1678853610.6229486,0,61806,5959.849295992819,"[['40000006', 0, 1678853649.2381687], ['50000039', 129, 1678853649.4901712]]","[['50000039', 0, 1678853610.7178996], ['40000006', 129, 1678853647.832616]]"
1678853657.4498987,1678853610.6878994,0,67562,6694.20284188462,"[['40000006', 0, 1678853657.3929007], ['50000039', 129, 1678853657.4498987]]","[['50000039', 0, 1678853610.7699456], ['40000006', 129, 1678853657.310834]]"
1678853662.8231766,1678853610.7549455,0,74021,7913.485331313565,"[['40000006', 0, 1678853662.6571758], ['50000039', 129, 1678853662.8231766]]","[['50000039', 0, 1678853610.8289454], ['40000006', 129, 1678853657.7288992]]"
1678853675.707814,1678853610.8259444,0,86579,8722.082528844874,"[['40000006', 0, 1678853675.174811], ['50000039', 129, 1678853675.707814]]","[['50000039', 0, 1678853610.8959439], ['40000006', 129, 1678853672.486925]]"
1678853752.793011,1678853626.1787236,0,91284,9956.97508397128,"[['40000006', 0, 1678853752.11801], ['50000039', 129, 1678853752.793011]]","[['50000039', 0, 1678853626.265723], ['40000006', 129, 1678853750.7569113]]"
1678853782.752381,1678853626.6487231,0,94565,10537.254513356958,"[['40000006', 0, 1678853782.6313815], ['50000039', 129, 1678853782.752381]]","[['50000039', 0, 1678853626.7017224], ['40000006', 129, 1678853779.4721868]]"
1678853799.3163233,1678853610.270821,0,96324,11213.470052398276,"[['30000004', 0, 1678853614.1575837], ['40000006', 100, 1678853798.8607333], ['50000039', 129, 1678853799.3163233]]","[['50000039', 0, 1678853610.2848675], ['40000006', 129, 1678853611.5192354], ['30000004', 100, 1678853611.596185]]"
1678853801.9791925,1678853626.8377228,0,97462,11538.278913305265,"[['40000006', 0, 1678853801.6900935], ['50000039', 129, 1678853801.9791925]]","[['50000039', 0, 1678853626.8987224], ['40000006', 129, 1678853800.955094]]"
1678853861.8629591,1678853647.5346162,0,101849,12377.360585086768,"[['40000006', 0, 1678853861.4468608], ['50000039', 129, 1678853861.8629591]]","[['50000039', 0, 1678853647.5766196], ['40000006', 129, 1678853860.1637783]]"
1678853864.2440512,1678853647.6056154,0,103696,13121.204052079374,"[['40000006', 0, 1678853863.6810515], ['50000039', 129, 1678853864.2440512]]","[['50000039', 0, 1678853647.6526148], ['40000006', 129, 1678853862.969957]]"
1678853881.9796026,1678853657.3128338,0,106986,13757.7317568221,"[['40000006', 0, 1678853881.813602], ['50000039', 129, 1678853881.9796026]]","[['50000039', 0, 1678853657.3828557], ['40000006', 129, 1678853880.7185001]]"
1678853882.9826963,1678853657.3768337,0,108126,13945.203846222794,"[['40000006', 0, 1678853882.915697], ['50000039', 129, 1678853882.9826963]]","[['50000039', 0, 1678853657.4678993], ['40000006', 129, 1678853881.432601]]"
1678853884.4463837,1678853657.5798988,0,110332,14709.146698951177,"[['40000006', 0, 1678853883.946795], ['50000039', 129, 1678853884.4463837]]","[['50000039', 0, 1678853658.011899], ['40000006', 129, 1678853881.6356025]]"
1678853899.4050903,1678853672.2608461,0,111829,15183.081650320097,"[['40000006', 0, 1678853899.3150446], ['50000039', 129, 1678853899.4040842]]","[['50000039', 0, 1678853672.2878458], ['40000006', 129, 1678853898.7880425]]"
1678853900.4627538,1678853672.3258467,0,112969,15352.001009727852,"[['40000006', 0, 1678853900.277756], ['50000039', 129, 1678853900.4627538]]","[['50000039', 0, 1678853672.3638487], ['40000006', 129, 1678853899.629657]]"
1678853904.1322436,1678853672.5169246,0,114113,15720.259747822982,"[['40000006', 0, 1678853903.510121], ['50000039', 129, 1678853904.1322436]]","[['50000039', 0, 1678853672.5349252], ['40000006', 129, 1678853900.7707546]]"
1678853944.004253,1678853611.2421792,0,116279,16604.462902194482,"[['20000003', 0, 1678853746.9330258], ['30000004', 100, 1678853802.0181925], ['40000006', 100, 1678853943.9252527], ['50000039', 129, 1678853944.0032659]]","[['50000039', 0, 1678853611.24918], ['40000006', 129, 1678853710.503186], ['30000004', 100, 1678853742.9179652], ['20000003', 100, 1678853745.8812687]]"
