record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796211.2104175,1678796195.371319,2117,17643,5896.2446157085205,,"[['50000004', 0, 1678796195.4341865], ['40000001', 105, 1678796199.07323], ['30000001', 100, 1678796210.960393], ['20000001', 102, 1678796211.2104175]]"
1678796211.3611908,1678796195.3723164,2819,20482,6775.538671315124,,"[['50000001', 0, 1678796195.4341865], ['40000001', 109, 1678796199.8131506], ['30000001', 100, 1678796211.0877295], ['20000001', 102, 1678796211.3611908]]"
1678796211.9686646,1678796195.433189,4580,24718,8058.076899036476,,"[['50000005', 0, 1678796195.4950244], ['40000001', 117, 1678796202.2537708], ['30000001', 100, 1678796211.5240612], ['20000001', 102, 1678796211.9686646]]"
1678796212.197497,1678796195.4950244,5851,26763,8668.968959205542,,"[['50000004', 0, 1678796195.556591], ['40000001', 105, 1678796205.213617], ['30000001', 100, 1678796211.9403865], ['20000001', 102, 1678796212.197497]]"
1678796222.8229508,1678796195.5875065,6641,32087,10139.601453956127,,"[['50000007', 0, 1678796195.6473467], ['40000001', 161, 1678796207.7244227], ['30000001', 100, 1678796212.1187267], ['20000001', 102, 1678796222.8229508]]"
