direction,start time,end time,pack time,pack num,pack chars,assistant num
send,1678853658.3408992,1678853662.4301767,4.089277505874634,6,1754,['30000004']
send,1678853664.8740466,1678853672.2558467,7.381800174713135,1,306,['30000004']
send,1678853672.528926,1678853674.5002549,1.9713289737701416,6,1849,['30000003']
send,1678853677.6249635,1678853687.7622724,10.137308835983276,3,770,['30000003']
send,1678853690.306765,1678853691.1007617,0.7939965724945068,6,1487,['30000003']
send,1678853693.4968865,1678853694.8879898,1.3911032676696777,6,1550,['30000003']
send,1678853696.0565372,1678853696.8555322,0.7989950180053711,1,253,['30000003']
send,1678853699.1499298,1678853699.765414,0.6154842376708984,1,218,['30000003']
send,1678853703.3775058,1678853704.040601,0.663095235824585,6,1573,['30000003']
send,1678853705.2494857,1678853714.9597888,9.71030306816101,3,703,['30000003']
send,1678853716.8918903,1678853726.3719814,9.480091094970703,4,1096,['30000003']
send,1678853729.1422672,1678853739.6307614,10.488494157791138,2,621,['30000003']
send,1678853749.9018133,1678853750.668912,0.7670986652374268,6,1613,['30000004']
send,1678853754.2621994,1678853761.9703653,7.708165884017944,5,1295,['30000004']
send,1678853764.783558,1678853768.5099425,3.7263846397399902,6,1694,['30000004']
send,1678853770.6487558,1678853770.8057559,0.15700006484985352,6,1808,['30000004']
send,1678853770.977759,1678853771.0727582,0.09499931335449219,6,1795,['30000004']
send,1678853771.3937552,1678853772.2418396,0.8480844497680664,6,1697,['30000004']
send,1678853774.0413508,1678853775.3446412,1.3032903671264648,6,1766,['30000004']
send,1678853778.0768473,1678853779.1311867,1.0543394088745117,6,1613,['30000004']
send,1678853779.4401872,1678853780.691286,1.251098871231079,5,1390,['30000004']
send,1678853783.0824814,1678853784.1310663,1.0485849380493164,6,1572,['30000003']
send,1678853785.7432663,1678853786.704889,0.9616227149963379,3,798,['30000003']
send,1678853788.9000888,1678853791.0116704,2.111581563949585,4,1025,['30000003']
send,1678853792.4907663,1678853793.0377667,0.5470004081726074,1,246,['30000003']
send,1678853808.7450922,1678853809.4047008,0.6596086025238037,6,1893,['30000004']
send,1678853817.6885026,1678853818.3736017,0.6850991249084473,4,1257,['30000003']
