record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853626.9187233,1678853610.2988703,1095,2056,932.8785035199736,,"[['50000034', 0, 1678853610.3378212], ['40000006', 113, 1678853614.3566768], ['30000004', 100, 1678853626.8357232], ['20000003', 100, 1678853626.9157228]]"
1678853634.956768,1678853610.3208673,2322,4784,2341.909051903554,,"[['50000040', 0, 1678853610.4108722], ['40000006', 152, 1678853615.8567784], ['30000004', 100, 1678853627.6908195], ['20000003', 100, 1678853628.301821]]"
1678853647.5236163,1678853610.4728727,3799,7590,2906.770741506654,,"[['50000036', 0, 1678853610.4998696], ['40000006', 100, 1678853628.9749227], ['30000004', 100, 1678853643.513228], ['20000003', 100, 1678853644.1453266]]"
1678853647.5666156,1678853610.4708707,4707,8831,3006.7891283530835,,"[['50000038', 0, 1678853610.5288732], ['40000006', 113, 1678853631.435223], ['30000004', 100, 1678853644.4273257], ['20000003', 100, 1678853647.5666156]]"
1678853651.7483628,1678853610.520869,6430,11939,4580.1659480502385,,"[['50000038', 0, 1678853610.5709603], ['40000006', 113, 1678853637.776444], ['30000004', 100, 1678853647.9260223], ['20000003', 100, 1678853648.3820171]]"
1678853654.36354,1678853610.5899441,7230,13179,4961.707145318698,,"[['50000034', 0, 1678853610.6189442], ['40000006', 113, 1678853644.8903255], ['30000004', 100, 1678853648.7911265], ['20000003', 100, 1678853652.0334632]]"
1678853657.3648343,1678853610.6019456,8295,15659,5325.977770555149,,"[['50000040', 0, 1678853610.6369457], ['40000006', 152, 1678853647.2526155], ['30000004', 100, 1678853657.3118331], ['20000003', 100, 1678853657.3648343]]"
1678853663.0748572,1678853610.6559477,10686,21093,7604.302448088268,,"[['50000034', 0, 1678853610.6649506], ['40000006', 113, 1678853647.5766196], ['30000004', 100, 1678853658.9229789], ['20000003', 100, 1678853659.93898]]"
1678853666.359143,1678853610.6669528,11424,22322,7800.306855236252,,"[['50000040', 0, 1678853610.6989446], ['40000006', 152, 1678853648.113021], ['30000004', 100, 1678853661.2570298], ['20000003', 100, 1678853663.6598566]]"
1678853669.9355211,1678853610.6559477,12146,23703,8280.401288771705,,"[['50000037', 0, 1678853610.7159448], ['40000006', 103, 1678853649.4891691], ['30000004', 100, 1678853661.6500955], ['20000003', 100, 1678853667.2862408]]"
1678853672.2508461,1678853610.6559477,12990,24938,8715.154147016032,,"[['50000036', 0, 1678853610.7349486], ['40000006', 100, 1678853653.5165398], ['30000004', 100, 1678853661.9521759], ['20000003', 100, 1678853670.1525211]]"
1678853677.170965,1678853610.727949,15003,28465,9634.968352805514,,"[['50000032', 0, 1678853610.752946], ['40000005', 129, 1678853662.1631746], ['30000004', 187, 1678853673.997076], ['20000003', 100, 1678853674.7642572]]"
1678853679.0916712,1678853610.6919458,15829,30712,9931.804445351665,,"[['50000027', 0, 1678853610.738949], ['40000005', 113, 1678853662.1631746], ['30000004', 187, 1678853674.3862572], ['20000003', 100, 1678853677.3889651]]"
