record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796195.6792612,1678796195.5875065,0,5773,407.1210707180764,"[['40000005', 0, 1678796195.644414], ['50000027', 113, 1678796195.6792612]]","[['50000027', 0, 1678796195.602469], ['40000005', 113, 1678796195.633384]]"
1678796208.7954018,1678796195.7754502,0,15968,1336.620495534911,"[['40000005', 0, 1678796208.0086687], ['50000027', 113, 1678796208.7954018]]","[['50000027', 0, 1678796195.8295758], ['40000005', 113, 1678796201.2366974]]"
1678796216.8554876,1678796195.6802583,0,17652,2121.451864029955,"[['20000002', 0, 1678796209.598809], ['30000003', 100, 1678796216.3057947], ['40000005', 146, 1678796216.5910726], ['50000027', 113, 1678796216.8554876]]","[['50000027', 0, 1678796195.7397568], ['40000005', 113, 1678796196.9596767], ['30000003', 146, 1678796207.9308627], ['20000002', 100, 1678796209.3745933]]"
