direction,start time,end time,pack time,pack num,pack chars,assistant num
send,1678853672.5919256,1678853676.6598651,4.067939519882202,6,1643,['30000004']
send,1678853679.3747659,1678853681.1804905,1.8057246208190918,3,735,['30000004']
send,1678853690.2607658,1678853698.462833,8.202067136764526,3,772,['30000004']
send,1678853699.8504148,1678853701.5391064,1.6886916160583496,6,1730,['30000004']
send,1678853701.9692006,1678853702.9855058,1.0163052082061768,6,1786,['30000004']
send,1678853703.5005014,1678853703.9486046,0.4481031894683838,6,1722,['30000004']
send,1678853704.5796037,1678853713.2194908,8.63988709449768,4,1246,['30000004']
send,1678853719.3161843,1678853726.4269352,7.110750913619995,3,712,['30000004']
send,1678853726.919087,1678853734.5535636,7.634476661682129,5,1398,['30000004']
send,1678853754.6092002,1678853762.7064624,8.097262144088745,3,759,['30000004']
send,1678853764.2175572,1678853770.542756,6.3251988887786865,3,848,['30000004']
send,1678853770.9357553,1678853771.0287511,0.09299588203430176,6,1679,['30000004']
send,1678853771.1067562,1678853771.1927562,0.08599996566772461,6,1746,['30000004']
send,1678853778.2649336,1678853779.0310323,0.7660987377166748,6,1733,['30000004']
send,1678853779.7241864,1678853781.0852854,1.3610990047454834,6,1785,['30000004']
send,1678853783.8954816,1678853790.9065683,7.011086702346802,1,310,['30000004']
send,1678853791.14767,1678853798.113733,6.966063022613525,3,722,['30000004']
send,1678853802.400193,1678853809.403701,7.0035080909729,4,997,['30000004']
send,1678853809.5047019,1678853817.3825014,7.8777995109558105,4,1061,['30000004']
send,1678853819.1496017,1678853826.7565026,7.606900930404663,5,1313,['30000004']
send,1678853828.0636964,1678853834.790089,6.726392507553101,3,791,['30000004']
send,1678853835.8620892,1678853842.8265965,6.964507341384888,5,1346,['30000004']
send,1678853843.322685,1678853843.8076835,0.4849984645843506,6,1502,['30000004']
send,1678853845.9851546,1678853852.9900494,7.004894733428955,4,1015,['30000004']
send,1678853863.6830513,1678853870.919298,7.236246585845947,2,536,['30000004']
send,1678853871.7003932,1678853878.016902,6.316508769989014,3,934,['30000004']
send,1678853881.5286012,1678853881.6356025,0.10700130462646484,6,1573,['30000004']
send,1678853881.797603,1678853888.3878753,6.590272426605225,1,293,['30000004']
send,1678853901.1207554,1678853907.8584216,6.737666130065918,4,1075,['30000004']
