record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796196.9137406,1678796195.3124757,0,13297,1086.772614334134,"[['40000001', 0, 1678796196.8815682], ['50000006', 136, 1678796196.9127433]]","[['50000006', 0, 1678796195.3703606], ['40000001', 136, 1678796196.032256]]"
1678796210.9324675,1678796195.2626097,0,15423,1410.1037488873258,"[['30000001', 0, 1678796196.3036327], ['40000001', 100, 1678796210.897561], ['50000006', 136, 1678796210.9324675]]","[['50000006', 0, 1678796195.324471], ['40000001', 136, 1678796196.1369755], ['30000001', 100, 1678796196.2727156]]"
1678796212.4265122,1678796195.3553965,0,16833,1785.6589540063042,"[['30000001', 0, 1678796199.3257124], ['40000001', 100, 1678796212.411269], ['50000006', 136, 1678796212.4265122]]","[['50000006', 0, 1678796195.416233], ['40000001', 136, 1678796198.2879148], ['30000001', 100, 1678796198.5110624]]"
1678796213.0887926,1678796195.4521372,0,19248,2508.6269575283695,"[['30000001', 0, 1678796211.617808], ['40000001', 100, 1678796212.7768674], ['50000006', 136, 1678796213.0887926]]","[['50000006', 0, 1678796195.4930282], ['40000001', 136, 1678796203.8826897], ['30000001', 100, 1678796211.2054305]]"
1678796214.0229197,1678796195.4062598,0,19657,2548.3050606615584,"[['30000001', 0, 1678796211.3928158], ['40000001', 100, 1678796212.856654], ['50000006', 136, 1678796214.0229197]]","[['50000006', 0, 1678796195.46311], ['40000001', 136, 1678796201.6886916], ['30000001', 100, 1678796210.7124128]]"
