record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796196.0472155,1678796195.7262151,912,380,525.3979237949621,,"[['50000034', 0, 1678796195.7724588], ['40000006', 113, 1678796195.9859462], ['30000004', 100, 1678796196.0472155]]"
1678796196.3195891,1678796195.77146,1788,3221,895.8168765877388,,"[['50000037', 0, 1678796195.7874806], ['40000006', 103, 1678796196.1959195], ['30000004', 100, 1678796196.3195891]]"
1678796196.4084225,1678796195.7679832,2754,4804,1094.2860212531314,,"[['50000034', 0, 1678796195.8193088], ['40000006', 113, 1678796196.3785076], ['30000004', 100, 1678796196.4084225]]"
1678796196.6859396,1678796195.7561505,3897,6511,1872.7702820611892,,"[['50000033', 0, 1678796195.828599], ['40000006', 129, 1678796196.5617902], ['30000004', 100, 1678796196.6859396]]"
1678796196.7752337,1678796195.7864833,4728,8011,2062.212284333108,,"[['50000040', 0, 1678796195.8487637], ['40000006', 152, 1678796196.73146], ['30000004', 100, 1678796196.7752337]]"
1678796197.2484922,1678796195.843777,5652,10225,2662.4157307513588,,"[['50000037', 0, 1678796195.8628287], ['40000006', 103, 1678796197.0178583], ['30000004', 100, 1678796197.2484922]]"
1678796198.1426325,1678796195.8467703,6660,12497,3528.4121054501447,,"[['50000039', 0, 1678796195.8767931], ['40000006', 129, 1678796197.699991], ['30000004', 100, 1678796198.1426325]]"
1678796199.5169418,1678796195.8315704,7614,14588,4028.5534283643346,,"[['50000038', 0, 1678796195.8907535], ['40000006', 113, 1678796198.5868602], ['30000004', 100, 1678796199.5169418]]"
1678796200.428301,1678796195.8223007,8793,16976,5039.436243347075,,"[['50000033', 0, 1678796195.8917518], ['40000006', 129, 1678796199.359615], ['30000004', 100, 1678796200.428301]]"
1678796202.3166382,1678796195.8487637,9717,22321,6358.7870821942515,,"[['50000034', 0, 1678796195.9237804], ['40000006', 113, 1678796200.706307], ['30000004', 100, 1678796202.3166382]]"
1678796211.39081,1678796195.8927493,14041,43853485,15092844.25973408,,"[['50000033', 0, 1678796195.9545755], ['40000006', 129, 1678796202.745132], ['30000004', 100, 1678796211.39081]]"
1678796211.5739257,1678796195.8927493,14699,43858243,15093916.81586365,,"[['50000034', 0, 1678796195.9686062], ['40000006', 113, 1678796204.29973], ['30000004', 100, 1678796211.5739257]]"
1678796211.8484154,1678796195.9097602,15363,43860691,15094347.130439067,,"[['50000039', 0, 1678796195.983951], ['40000006', 129, 1678796206.0208774], ['30000004', 100, 1678796211.8484154]]"
1678796212.123694,1678796195.9735913,16055,43862643,15094945.452838076,,"[['50000040', 0, 1678796196.0002122], ['40000006', 152, 1678796207.8032126], ['30000004', 100, 1678796212.123694]]"
1678796212.213456,1678796195.95657,16777,43864290,15095467.019480297,,"[['50000033', 0, 1678796196.0165071], ['40000006', 129, 1678796208.8592334], ['30000004', 100, 1678796212.213456]]"
1678796212.3937662,1678796196.0432534,18123,43867202,15096313.539969062,,"[['50000036', 0, 1678796196.1050618], ['40000006', 100, 1678796210.8051932], ['30000004', 100, 1678796212.3937662]]"
1678796212.4867573,1678796196.077137,18717,43870124,15096895.781058183,,"[['50000037', 0, 1678796196.1669967], ['40000006', 103, 1678796211.2064278], ['30000004', 100, 1678796212.4867573]]"
1678796212.5789876,,18717,43872053,15097096.803879853,"{'did': '20000003', 'class': '5', 'param': {'up': [['50000035', 0, 1678796195.939988], ['40000006', 103, 1678796202.037346], ['30000004', 100, 1678796211.2561328], ['20000003', 100, 1678796211.3322675]], 'generTime': 1678796195.8907535}, 'type': 'back', 'target': '50000035', 'time': 1678796211.3322675, 'similar': 0.1860961431017908}","[['20000003', 0, 1678796211.3442373], ['30000004', 100, 1678796212.5789876]]"
1678796212.7778642,,18717,43873800,15097298.390798368,"{'did': '20000003', 'class': '9', 'param': {'up': [['50000036', 0, 1678796196.046219], ['40000006', 100, 1678796209.1371927], ['30000004', 100, 1678796212.2722974], ['20000003', 100, 1678796212.3344066]], 'generTime': 1678796195.9735913}, 'type': 'back', 'target': '50000036', 'time': 1678796212.3344066, 'similar': 0.42144163913083676}","[['20000003', 0, 1678796212.346841], ['30000004', 100, 1678796212.7768674]]"
1678796216.9163678,,18717,43880517,15099532.718921462,"{'did': '10000001', 'class': '0', 'param': {'up': [['50000014', 0, 1678796195.4950244], ['40000002', 117, 1678796197.9533486], ['30000002', 122, 1678796212.4405925], ['20000002', 126, 1678796216.0137968], ['10000001', 100, 1678796216.244921]], 'generTime': 1678796195.479065}, 'type': 'back', 'target': '50000014', 'time': 1678796216.244921, 'similar': 0.9475252557110587}","[['10000001', 0, 1678796216.4934666], ['20000003', 100, 1678796216.652986], ['30000004', 100, 1678796216.9163678]]"
