record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.0578718,1678853609.9448195,0,1892,463.238526531472,,"[['50000027', 0, 1678853609.9598207], ['40000005', 113, 1678853610.0578718]]"
1678853610.1568203,1678853609.990825,0,7571,1640.683989422377,,"[['50000028', 0, 1678853610.0058744], ['40000005', 103, 1678853610.1518211]]"
1678853610.2628202,1678853609.978821,0,13486,2161.559253435132,,"[['50000029', 0, 1678853610.0058744], ['40000005', 100, 1678853610.2628202]]"
1678853610.3608203,1678853609.999869,0,19601,3138.4770284535048,,"[['50000027', 0, 1678853610.049868], ['40000005', 113, 1678853610.3578217]]"
1678853610.4568682,1678853610.048869,0,27191,3925.289601793306,,"[['50000032', 0, 1678853610.0598795], ['40000005', 129, 1678853610.4458253]]"
1678853610.5469553,1678853610.0598795,0,33519,5039.652739900922,,"[['50000028', 0, 1678853610.0758688], ['40000005', 103, 1678853610.5429456]]"
1678853610.6509483,1678853610.0478673,0,39715,6003.628954690558,,"[['50000027', 0, 1678853610.0968697], ['40000005', 113, 1678853610.6369457]]"
1678853610.7419465,1678853610.0758688,0,46594,6747.2691195245425,,"[['50000029', 0, 1678853610.1208694], ['40000005', 100, 1678853610.736948]]"
1678853610.9629483,1678853610.072871,0,55455,8276.156942112431,,"[['50000030', 0, 1678853610.1358204], ['40000005', 103, 1678853610.9629483]]"
1678853611.1691334,1678853610.1288702,0,63295,9155.823332285747,,"[['50000028', 0, 1678853610.142821], ['40000005', 103, 1678853611.1691334]]"
1678853611.4821837,1678853610.1188672,0,69893,9621.84711987424,,"[['50000029', 0, 1678853610.1538208], ['40000005', 100, 1678853611.4671845]]"
1678853616.2737794,1678853610.1128259,0,88579,11721.03762995319,,"[['50000030', 0, 1678853610.173821], ['40000005', 103, 1678853612.1391823]]"
1678853624.5380335,1678853610.199821,0,94651,12255.659360498043,,"[['50000028', 0, 1678853610.2218215], ['40000005', 103, 1678853616.528875]]"
1678853626.1797237,1678853610.185823,0,97842,12433.457069580629,,"[['50000030', 0, 1678853610.21882], ['40000005', 103, 1678853625.2971318]]"
1678853626.2717242,1678853610.185823,0,101726,12755.750873760127,,"[['50000032', 0, 1678853610.2178211], ['40000005', 129, 1678853626.264724]]"
1678853626.3587232,1678853610.1958215,0,106918,13171.458452188199,,"[['50000027', 0, 1678853610.2388682], ['40000005', 113, 1678853626.3587232]]"
1678853626.4827242,1678853610.1958215,0,114516,14663.504127378616,,"[['50000031', 0, 1678853610.243821], ['40000005', 113, 1678853626.478723]]"
1678853626.5697238,1678853610.2598214,0,122048,15460.65013036372,,"[['50000029', 0, 1678853610.2828696], ['40000005', 100, 1678853626.5697238]]"
1678853626.6947238,1678853610.2578201,0,129116,16786.44300838386,,"[['50000027', 0, 1678853610.2998698], ['40000005', 113, 1678853626.6887236]]"
1678853626.7967236,1678853610.2568212,0,137999,17886.411550221146,,"[['50000030', 0, 1678853610.3018677], ['40000005', 103, 1678853626.7967236]]"
1678853626.8957248,1678853610.3208673,0,144959,19297.00466490637,,"[['50000029', 0, 1678853610.3338728], ['40000005', 100, 1678853626.8957248]]"
1678853634.7487245,1678853610.3008678,0,164919,20916.771497534468,,"[['50000030', 0, 1678853610.3458211], ['40000005', 103, 1678853628.2418191]]"
1678853642.5541224,1678853610.3598213,0,170877,21255.925673080746,,"[['50000027', 0, 1678853610.4168687], ['40000005', 113, 1678853635.1252444]]"
