direction,start time,end time,pack time,pack num,pack chars,assistant num
send,1678853626.9087238,1678853637.745445,10.836721181869507,4,1048,['30000003']
send,1678853638.9846363,1678853643.1201236,4.13548731803894,1,306,['30000003']
send,1678853643.4012282,1678853647.5316153,4.1303870677948,2,524,['30000003']
send,1678853657.543899,1678853664.741045,7.197145938873291,3,761,['30000003']
send,1678853672.5439258,1678853678.9546707,6.410744905471802,1,222,['30000003']
send,1678853690.3427641,1678853695.0919871,4.749222993850708,1,218,['30000003']
send,1678853707.2337806,1678853712.2603824,5.026601791381836,1,341,['30000003']
send,1678853733.8035648,1678853735.067588,1.2640233039855957,6,1738,['30000003']
send,1678853751.3909097,1678853754.0441978,2.6532881259918213,6,1652,['30000003']
send,1678853759.8107686,1678853764.8886552,5.077886581420898,2,659,['30000003']
send,1678853771.1917546,1678853772.024839,0.8330843448638916,6,1482,['30000003']
send,1678853775.003646,1678853779.1351879,4.131541967391968,2,563,['30000003']
send,1678853784.0374813,1678853789.792291,5.754809617996216,1,206,['30000003']
