record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853611.037186,1678853610.0258682,0,36067,2010.357787256853,"[['40000004', 0, 1678853610.951948], ['50000022', 109, 1678853611.037186]]","[['50000022', 0, 1678853610.0768695], ['40000004', 109, 1678853610.4218678]]"
1678853612.4998877,1678853610.0898688,0,52215,2922.6392421594373,"[['40000004', 0, 1678853612.3297915], ['50000022', 109, 1678853612.4998877]]","[['50000022', 0, 1678853610.1438217], ['40000004', 109, 1678853610.8669472]]"
1678853626.2497241,1678853610.1958215,0,55592,3321.4143351303137,"[['40000004', 0, 1678853626.171723], ['50000022', 109, 1678853626.248723]]","[['50000022', 0, 1678853610.2678218], ['40000004', 109, 1678853619.6609082]]"
1678853627.9298184,1678853610.264821,0,79825,5047.070651342799,"[['40000004', 0, 1678853627.1557238], ['50000022', 109, 1678853627.9298184]]","[['50000022', 0, 1678853610.322868], ['40000004', 109, 1678853626.5047238]]"
1678853643.307123,1678853609.8918676,0,89072,6078.895708422125,"[['30000003', 0, 1678853610.2948678], ['40000004', 100, 1678853643.1801236], ['50000022', 109, 1678853643.307123]]","[['50000022', 0, 1678853609.9598207], ['40000004', 109, 1678853610.2408679], ['30000003', 100, 1678853610.2818696]]"
1678853647.6536167,1678853609.9988673,0,100851,6894.330469629537,"[['30000003', 0, 1678853610.6639512], ['40000004', 100, 1678853647.5746152], ['50000022', 109, 1678853647.6536167]]","[['50000030', 0, 1678853610.0438673], ['40000005', 103, 1678853610.4628725], ['30000003', 146, 1678853610.6289449]]"
1678853649.4551687,1678853610.6669528,0,104836,7547.87776421123,"[['40000004', 0, 1678853649.1681223], ['50000022', 109, 1678853649.4551687]]","[['50000022', 0, 1678853610.725945], ['40000004', 109, 1678853647.7256649]]"
1678853657.5328994,1678853610.8199484,0,121007,8113.990514711385,"[['40000004', 0, 1678853657.4858987], ['50000022', 109, 1678853657.5328994]]","[['50000022', 0, 1678853610.8579464], ['40000004', 109, 1678853657.3568344]]"
1678853665.4550452,1678853609.9638214,0,125454,8535.8219279713,"[['30000003', 0, 1678853610.7289457], ['40000004', 100, 1678853664.952045], ['50000022', 109, 1678853665.4540453]]","[['50000022', 0, 1678853610.0138688], ['40000004', 109, 1678853610.540946], ['30000003', 100, 1678853610.7049444]]"
1678853673.2309926,1678853610.9549444,0,131841,9075.284252641495,"[['40000004', 0, 1678853672.5889256], ['50000022', 109, 1678853673.2309926]]","[['50000022', 0, 1678853610.9799461], ['40000004', 109, 1678853672.3648474]]"
1678853690.1587634,1678853611.0461793,0,133332,9463.106632599685,"[['40000004', 0, 1678853690.1107635], ['50000022', 109, 1678853690.1587634]]","[['50000022', 0, 1678853611.1391785], ['40000004', 109, 1678853690.083488]]"
1678853693.4018862,1678853611.1201835,0,135169,9984.169754959923,"[['40000004', 0, 1678853692.9158876], ['50000022', 109, 1678853693.4018862]]","[['50000022', 0, 1678853611.20618], ['40000004', 109, 1678853690.259763]]"
1678853700.4830053,1678853611.1881847,0,137015,10719.884177462334,"[['40000004', 0, 1678853700.287009], ['50000022', 109, 1678853700.4830053]]","[['50000022', 0, 1678853611.27918], ['40000004', 109, 1678853695.7425344]]"
1678853702.7705083,1678853609.8168724,0,138689,10814.712732306298,"[['20000002', 0, 1678853611.123132], ['30000003', 100, 1678853611.3191807], ['40000004', 100, 1678853701.565108], ['50000022', 109, 1678853702.7705083]]","[['50000016', 0, 1678853609.85987], ['40000003', 123, 1678853610.6179442], ['30000002', 118, 1678853611.050177], ['20000002', 126, 1678853611.1101794]]"
