record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853613.6685793,1678853610.072871,0,66957,3781.387527891307,"[['40000005', 0, 1678853613.4389718], ['50000030', 103, 1678853613.6685793]]","[['50000030', 0, 1678853610.1358204], ['40000005', 103, 1678853610.9629483]]"
1678853616.948875,1678853610.1128259,0,68451,4368.9209714847875,"[['40000005', 0, 1678853616.652874], ['50000030', 103, 1678853616.948875]]","[['50000030', 0, 1678853610.173821], ['40000005', 103, 1678853612.1391823]]"
1678853626.260723,1678853610.185823,0,71913,4526.639494276535,"[['40000005', 0, 1678853626.1987236], ['50000030', 103, 1678853626.260723]]","[['50000030', 0, 1678853610.21882], ['40000005', 103, 1678853625.2971318]]"
1678853632.0603235,1678853610.2568212,0,106535,6617.330588762558,"[['40000005', 0, 1678853631.8703241], ['50000030', 103, 1678853632.0603235]]","[['50000030', 0, 1678853610.3018677], ['40000005', 103, 1678853626.7967236]]"
1678853635.155245,1678853610.3008678,0,108042,6672.779034072697,"[['40000005', 0, 1678853635.015245], ['50000030', 103, 1678853635.155245]]","[['50000030', 0, 1678853610.3458211], ['40000005', 103, 1678853628.2418191]]"
1678853651.5683677,1678853610.5228677,0,119765,7699.901243612033,"[['40000005', 0, 1678853651.3462675], ['50000030', 103, 1678853651.5683677]]","[['50000030', 0, 1678853610.5739455], ['40000005', 103, 1678853647.8960207]]"
1678853672.5899255,1678853610.7549455,0,121974,8365.501838583523,"[['40000005', 0, 1678853672.5309243], ['50000030', 103, 1678853672.5899255]]","[['50000030', 0, 1678853610.7959504], ['40000005', 103, 1678853672.3568475]]"
1678853699.2939298,1678853611.0581794,0,124896,8714.498767142628,"[['40000005', 0, 1678853698.5568333], ['50000030', 103, 1678853699.2939298]]","[['50000030', 0, 1678853611.0691795], ['40000005', 103, 1678853692.226847]]"
1678853703.8696046,1678853611.1491785,0,126038,8965.613741970374,"[['40000005', 0, 1678853703.8356042], ['50000030', 103, 1678853703.8696046]]","[['50000030', 0, 1678853611.16518], ['40000005', 103, 1678853700.8500051]]"
1678853770.7737563,1678853626.3887234,0,131453,10224.670444819089,"[['40000005', 0, 1678853770.706806], ['50000030', 103, 1678853770.7737563]]","[['50000030', 0, 1678853626.440723], ['40000005', 103, 1678853763.3464618]]"
1678853778.3659327,1678853626.6767225,0,134021,11218.532109102913,"[['40000005', 0, 1678853778.0308473], ['50000030', 103, 1678853778.3659327]]","[['50000030', 0, 1678853626.7437236], ['40000005', 103, 1678853773.2803688]]"
1678853781.0482855,1678853626.7927237,0,135526,11384.044976147226,"[['40000005', 0, 1678853780.7522845], ['50000030', 103, 1678853781.0482855]]","[['50000030', 0, 1678853626.8277235], ['40000005', 103, 1678853776.3947446]]"
1678853791.0136702,1678853643.1991231,0,136670,11836.945959359025,"[['40000005', 0, 1678853790.852569], ['50000030', 103, 1678853791.0126688]]","[['50000030', 0, 1678853643.2151241], ['40000005', 103, 1678853785.0851648]]"
1678853794.5284557,1678853643.2421231,0,137816,12369.853604858996,"[['40000005', 0, 1678853793.7138457], ['50000030', 103, 1678853794.5284557]]","[['50000030', 0, 1678853643.2571228], ['40000005', 103, 1678853787.5679848]]"
1678853842.4594963,1678853610.890945,0,139232,12395.79846156837,"[['30000004', 0, 1678853710.3951867], ['40000005', 187, 1678853842.2544951], ['50000030', 103, 1678853842.4594963]]","[['50000037', 0, 1678853610.9469516], ['40000006', 103, 1678853676.9218676], ['30000004', 100, 1678853709.4835904]]"
1678853856.3280594,1678853611.1501825,0,141132,13019.152090606076,"[['30000004', 0, 1678853731.440361], ['40000005', 187, 1678853856.1230602], ['50000030', 103, 1678853856.3280594]]","[['50000040', 0, 1678853611.2021909], ['40000006', 152, 1678853703.9446044], ['30000004', 100, 1678853728.5481858]]"
1678853857.8741586,1678853610.8969455,0,142542,13144.742936314477,"[['30000004', 0, 1678853738.5201678], ['40000005', 187, 1678853857.634156], ['50000030', 103, 1678853857.8731596]]","[['50000038', 0, 1678853610.9469516], ['40000006', 113, 1678853676.9218676], ['30000004', 100, 1678853735.205642]]"
1678853858.5181608,1678853611.1211832,0,143958,13567.079039688226,"[['30000004', 0, 1678853730.5022678], ['40000005', 187, 1678853857.8731596], ['50000030', 103, 1678853858.5181608]]","[['50000035', 0, 1678853611.1551785], ['40000006', 103, 1678853703.9446044], ['30000004', 100, 1678853727.1860917]]"
1678853858.7981594,1678853611.1371794,0,145368,13717.843914308469,"[['30000004', 0, 1678853734.192566], ['40000005', 187, 1678853858.5401587], ['50000030', 103, 1678853858.7981594]]","[['50000039', 0, 1678853611.1991324], ['40000006', 129, 1678853704.844604], ['30000004', 100, 1678853730.3192673]]"
1678853871.663394,1678853611.2441804,0,147273,13980.021154560009,"[['30000004', 0, 1678853747.2000747], ['40000005', 187, 1678853871.3212974], ['50000030', 103, 1678853871.663394]]","[['50000038', 0, 1678853611.2571344], ['40000006', 113, 1678853710.503186], ['30000004', 100, 1678853741.5058634]]"
1678853877.8129027,1678853610.890945,0,148683,14456.95263341498,"[['30000004', 0, 1678853740.272761], ['40000005', 187, 1678853876.6648095], ['50000030', 103, 1678853877.8119028]]","[['50000037', 0, 1678853610.9469516], ['40000006', 103, 1678853676.9218676], ['30000004', 100, 1678853736.0596924]]"
1678853879.7732968,1678853611.4971907,0,150091,14902.497153293896,"[['30000004', 0, 1678853773.6223512], ['40000005', 187, 1678853879.6712968], ['50000030', 103, 1678853879.7732968]]","[['50000038', 0, 1678853611.6012554], ['40000006', 113, 1678853735.833644], ['30000004', 100, 1678853770.8787563]]"
1678853885.6266692,1678853626.4327238,0,151503,15151.231502108729,"[['30000004', 0, 1678853802.1841886], ['40000005', 187, 1678853885.46167], ['50000030', 103, 1678853885.6266692]]","[['50000030', 0, 1678853626.4767244], ['40000005', 103, 1678853771.4817564], ['30000004', 187, 1678853801.8730931]]"
1678853897.3994322,1678853610.4738722,0,153191,15475.955579709707,"[['20000002', 0, 1678853690.2457633], ['30000003', 100, 1678853841.1163976], ['40000005', 146, 1678853896.911105], ['50000030', 103, 1678853897.3984334]]","[['50000030', 0, 1678853610.5338767], ['40000005', 103, 1678853646.9076166], ['30000003', 146, 1678853677.7289655], ['20000002', 100, 1678853690.2347627]]"
1678853904.3852446,1678853626.193726,0,154583,15902.753304871358,"[['30000003', 0, 1678853892.78073], ['40000005', 146, 1678853904.1031203], ['50000030', 103, 1678853904.3852446]]","[['50000017', 0, 1678853626.2237246], ['40000003', 109, 1678853765.0126567], ['30000003', 140, 1678853887.15377]]"
1678853916.7418964,1678853610.9879,0,156247,16136.973446105914,"[['20000003', 0, 1678853776.5907402], ['30000003', 176, 1678853916.3439429], ['40000005', 146, 1678853916.445942], ['50000030', 103, 1678853916.7418964]]","[['50000030', 0, 1678853611.037186], ['40000005', 103, 1678853694.9459877], ['30000003', 146, 1678853770.7117584], ['20000003', 176, 1678853776.1757433]]"
1678853918.233975,1678853643.390229,0,157655,16355.718745647342,"[['30000003', 0, 1678853917.7640224], ['40000005', 146, 1678853917.9200263], ['50000030', 103, 1678853918.233975]]","[['50000022', 0, 1678853643.6532278], ['40000004', 109, 1678853778.3009336], ['30000003', 100, 1678853916.066948]]"
1678853943.3066802,1678853626.668724,0,159057,16979.63242404953,"[['30000003', 0, 1678853943.156679], ['40000005', 146, 1678853943.2756345], ['50000030', 103, 1678853943.3066802]]","[['50000021', 0, 1678853626.6987245], ['40000003', 117, 1678853786.74989], ['30000003', 140, 1678853939.9050214]]"
