record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.2818696,1678853609.8918676,918,384,542.8550632762295,,"[['50000022', 0, 1678853609.9598207], ['40000004', 109, 1678853610.2408679], ['30000003', 100, 1678853610.2818696]]"
1678853610.5068219,1678853609.9238207,2062,3829,1348.5137502793432,,"[['50000024', 0, 1678853609.9938722], ['40000004', 100, 1678853610.3568208], ['30000003', 100, 1678853610.5068219]]"
1678853610.640945,1678853609.9988673,2879,6411,1785.725022245009,,"[['50000030', 0, 1678853610.0438673], ['40000005', 103, 1678853610.4628725], ['30000003', 146, 1678853610.6289449]]"
1678853610.7049444,1678853609.9638214,3736,8428,1943.2031850932792,,"[['50000022', 0, 1678853610.0138688], ['40000004', 109, 1678853610.540946], ['30000003', 100, 1678853610.7049444]]"
1678853610.843964,1678853609.9918692,5122,11227,2257.5133486802442,,"[['50000023', 0, 1678853610.0358696], ['40000004', 101, 1678853610.6649506], ['30000003', 100, 1678853610.8429463]]"
1678853610.9129453,1678853610.020869,5832,13344,2530.3784063927806,,"[['50000031', 0, 1678853610.0398679], ['40000005', 113, 1678853610.78295], ['30000003', 146, 1678853610.9129453]]"
1678853610.971945,1678853610.0008872,6618,14947,2749.032389839702,,"[['50000024', 0, 1678853610.0558739], ['40000004', 100, 1678853610.8099442], ['30000003', 100, 1678853610.971945]]"
1678853611.0941796,1678853610.0228739,7575,17109,3343.1619028358427,,"[['50000029', 0, 1678853610.0758688], ['40000005', 100, 1678853610.9789464], ['30000003', 146, 1678853611.0941796]]"
1678853611.1621299,1678853610.0398679,8409,19047,3531.7475842227504,,"[['50000025', 0, 1678853610.0948682], ['40000004', 105, 1678853611.1011822], ['30000003', 100, 1678853611.16113]]"
1678853611.280179,,8989,24009,4285.882610880684,"{'did': '20000002', 'class': '4', 'param': {'up': [['50000016', 0, 1678853609.85987], ['40000003', 123, 1678853610.6179442], ['30000002', 118, 1678853611.050177], ['20000002', 126, 1678853611.1101794]], 'generTime': 1678853609.8168724}, 'type': 'back', 'target': '50000016', 'time': 1678853611.1101794, 'similar': 0.11329576444917944}","[['20000002', 0, 1678853611.123132], ['30000003', 100, 1678853611.280179]]"
1678853611.3482373,1678853610.0368226,9515,26682,4761.059007136733,,"[['50000030', 0, 1678853610.070869], ['40000005', 103, 1678853611.1671326], ['30000003', 146, 1678853611.344182]]"
1678853611.421182,1678853610.0688677,10149,28783,5156.294932005457,,"[['50000024', 0, 1678853610.1138694], ['40000004', 100, 1678853611.2521806], ['30000003', 100, 1678853611.4112303]]"
1678853626.239724,1678853610.0818799,12502,67164290,17311109.78741549,,"[['50000032', 0, 1678853610.0978222], ['40000005', 129, 1678853611.463231], ['30000003', 146, 1678853626.229724]]"
1678853626.6057222,1678853610.0888693,15592,67178537,17315786.99396762,,"[['50000027', 0, 1678853610.142821], ['40000005', 113, 1678853614.182583], ['30000003', 146, 1678853626.6057222]]"
1678853626.7817235,1678853610.1268678,17153,67186317,17318318.07100197,,"[['50000027', 0, 1678853610.1918228], ['40000005', 113, 1678853616.8228745], ['30000003', 146, 1678853626.7777233]]"
1678853631.8293223,,18559,80361932,20246998.952993225,"{'did': '20000002', 'class': '2', 'param': {'up': [['50000012', 0, 1678853609.813868], ['40000002', 100, 1678853611.0841882], ['30000002', 122, 1678853612.5428886], ['20000002', 126, 1678853616.0847795]], 'generTime': 1678853609.7658207}, 'type': 'back', 'target': '50000012', 'time': 1678853616.0847795, 'similar': 0.444472298754752}","[['20000002', 0, 1678853624.6470327], ['30000003', 100, 1678853631.8293223]]"
1678853636.481343,,18559,108099307,31655135.485653862,"{'did': '20000002', 'class': '8', 'param': {'up': [['50000010', 0, 1678853609.798869], ['40000002', 109, 1678853610.8079019], ['30000002', 122, 1678853611.5202358], ['20000002', 126, 1678853611.7521815]], 'generTime': 1678853609.7488685}, 'type': 'back', 'target': '50000010', 'time': 1678853611.7521815, 'similar': 0.8226794341141239}","[['20000002', 0, 1678853615.9617789], ['30000003', 100, 1678853636.481343]]"
1678853643.1151233,,19120,149596565,34231141.4975682,"{'did': '20000002', 'class': '2', 'param': {'up': [['50000014', 0, 1678853609.8278687], ['40000002', 117, 1678853611.2501807], ['30000002', 122, 1678853614.324674], ['20000002', 126, 1678853624.6841314]], 'generTime': 1678853609.7778213}, 'type': 'back', 'target': '50000014', 'time': 1678853624.6841314, 'similar': 0.12413577681638088}","[['20000002', 0, 1678853626.2027237], ['30000003', 100, 1678853643.1151233]]"
1678853643.1801236,,20120,149599788,34232186.9616862,"{'did': '20000002', 'class': '2', 'param': {'up': [['50000023', 0, 1678853610.1288702], ['40000004', 101, 1678853611.395184], ['30000003', 100, 1678853626.1867232], ['20000002', 100, 1678853626.3007228]], 'generTime': 1678853610.0678244}, 'type': 'back', 'target': '50000023', 'time': 1678853626.3007228, 'similar': 0.7848678254446316}","[['20000002', 0, 1678853626.3117714], ['30000003', 100, 1678853643.1801236]]"
1678853643.2621236,1678853610.2598214,21044,149606643,34233196.05111197,,"[['50000031', 0, 1678853610.2718203], ['40000005', 113, 1678853626.8097239], ['30000003', 146, 1678853643.2621236]]"
1678853643.3591237,,22389,149610670,34234777.0977934,"{'did': '20000002', 'class': '6', 'param': {'up': [['50000031', 0, 1678853610.1268678], ['40000005', 113, 1678853613.0498893], ['30000003', 146, 1678853626.6967225], ['20000002', 100, 1678853626.952725]], 'generTime': 1678853610.07787}, 'type': 'back', 'target': '50000031', 'time': 1678853626.952725, 'similar': 0.05612552936716042}","[['20000002', 0, 1678853626.997724], ['30000003', 100, 1678853643.3591237]]"
1678853643.6232283,,22389,149613179,34235279.91878982,"{'did': '20000002', 'class': '5', 'param': {'up': [['50000020', 0, 1678853609.9638214], ['40000003', 105, 1678853611.499185], ['30000002', 118, 1678853626.697724], ['20000002', 126, 1678853626.8097239]], 'generTime': 1678853609.90787}, 'type': 'back', 'target': '50000020', 'time': 1678853626.8107228, 'similar': 0.9369900061410652}","[['20000002', 0, 1678853626.822724], ['30000003', 100, 1678853643.6232283]]"
1678853647.420616,1678853610.2638214,24138,149619680,34236577.75485008,,"[['50000028', 0, 1678853610.2818696], ['40000005', 103, 1678853628.5378203], ['30000003', 146, 1678853644.0623252]]"
1678853647.5726156,1678853610.3518207,25035,149621945,34237066.05902945,,"[['50000022', 0, 1678853610.4168687], ['40000004', 109, 1678853629.7710416], ['30000003', 100, 1678853647.5726156]]"
1678853647.6366148,1678853610.2578201,26078,149624570,34237806.017444134,,"[['50000032', 0, 1678853610.3018677], ['40000005', 129, 1678853631.1852233], ['30000003', 146, 1678853647.6366148]]"
1678853647.693664,1678853610.2948678,27430,149628544,34238388.32396409,,"[['50000032', 0, 1678853610.3328676], ['40000005', 129, 1678853632.057323], ['30000003', 146, 1678853647.693664]]"
1678853655.8676355,1678853610.319868,33437,149639974,34243126.04128034,,"[['50000031', 0, 1678853610.3578217], ['40000005', 113, 1678853635.126244], ['30000003', 146, 1678853654.1895397]]"
1678853657.235834,1678853610.4728727,34137,149641544,34243401.290686555,,"[['50000026', 0, 1678853610.4968674], ['40000004', 117, 1678853637.3864448], ['30000003', 100, 1678853657.2288337]]"
1678853657.2868342,1678853610.4688678,34729,149644270,34244049.13452715,,"[['50000025', 0, 1678853610.494869], ['40000004', 105, 1678853637.3864448], ['30000003', 100, 1678853657.2868342]]"
1678853657.3498328,1678853610.4718719,36978,149647233,34244699.561255895,,"[['50000023', 0, 1678853610.521823], ['40000004', 101, 1678853637.3864448], ['30000003', 100, 1678853657.3498328]]"
1678853657.4838994,,38048,149660520,34247291.171830066,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000032', 0, 1678853610.1358204], ['40000005', 129, 1678853613.5309708], ['30000003', 146, 1678853626.886723], ['20000002', 100, 1678853627.7848203]], 'generTime': 1678853610.1178677}, 'type': 'back', 'target': '50000032', 'time': 1678853627.7848203, 'similar': 0.4833643971078081}","[['20000002', 0, 1678853634.9582088], ['30000003', 100, 1678853657.4838994]]"
1678853657.9538987,,40466,149668763,34248875.8064434,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000018', 0, 1678853609.9708214], ['40000003', 101, 1678853612.403891], ['30000002', 118, 1678853628.5348194], ['20000002', 126, 1678853642.5561235]], 'generTime': 1678853609.8908677}, 'type': 'back', 'target': '50000018', 'time': 1678853642.5561235, 'similar': 0.30413945253678654}","[['20000002', 0, 1678853643.149123], ['30000003', 100, 1678853657.9538987]]"
1678853658.4068992,,40466,149670457,34249076.49642857,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000019', 0, 1678853609.9748204], ['40000003', 100, 1678853613.2619715], ['30000002', 118, 1678853630.9322217], ['20000002', 126, 1678853643.2171237]], 'generTime': 1678853609.949821}, 'type': 'back', 'target': '50000019', 'time': 1678853643.2171237, 'similar': 0.2731548518627418}","[['20000002', 0, 1678853643.2291236], ['30000003', 100, 1678853658.4068992]]"
1678853662.462175,1678853610.3708203,41927,149674909,34249545.0366345,,"[['50000031', 0, 1678853610.4288697], ['40000005', 113, 1678853643.2711232], ['30000003', 146, 1678853658.7659786]]"
1678853662.7601767,,41927,149677260,34249694.222423,"{'did': '20000002', 'class': '1', 'param': {'up': [['50000031', 0, 1678853610.1728218], ['40000005', 113, 1678853615.5297797], ['30000003', 146, 1678853631.440222], ['20000002', 100, 1678853643.2771242]], 'generTime': 1678853610.130869}, 'type': 'back', 'target': '50000031', 'time': 1678853643.2781234, 'similar': 0.1791916447512656}","[['20000002', 0, 1678853643.3471234], ['30000003', 100, 1678853662.7601767]]"
1678853663.071857,,42326,149680071,34250276.92227668,"{'did': '20000002', 'class': '4', 'param': {'up': [['50000015', 0, 1678853609.876868], ['40000002', 136, 1678853612.0431817], ['30000002', 122, 1678853626.957723], ['20000002', 126, 1678853634.9527245]], 'generTime': 1678853609.8458753}, 'type': 'back', 'target': '50000015', 'time': 1678853634.9527245, 'similar': 0.962476901940209}","[['20000002', 0, 1678853642.493123], ['30000003', 100, 1678853663.071857]]"
1678853666.9932413,1678853610.549962,43431,149685355,34251261.87526079,,"[['50000020', 0, 1678853610.585945], ['40000004', 144, 1678853643.3541234], ['30000003', 100, 1678853664.0789456]]"
1678853670.1565204,1678853610.3588202,44115,149686923,34251493.39180088,,"[['50000030', 0, 1678853610.452874], ['40000005', 103, 1678853643.9373257], ['30000003', 146, 1678853667.9632416]]"
1678853672.2508461,1678853610.549962,45440,149690796,34252781.81297868,,"[['50000022', 0, 1678853610.5999446], ['40000004', 109, 1678853644.1593263], ['30000003', 100, 1678853670.7155213]]"
1678853672.3048468,1678853610.4728727,46526,149693693,34253386.46005368,,"[['50000032', 0, 1678853610.4938676], ['40000005', 129, 1678853644.8863254], ['30000003', 146, 1678853672.3048468]]"
1678853672.411925,,49720,149700236,34256487.065567866,"{'did': '20000002', 'class': '4', 'param': {'up': [['50000023', 0, 1678853610.2738678], ['40000004', 101, 1678853626.3657238], ['30000003', 100, 1678853643.1561222], ['20000002', 100, 1678853643.6873283]], 'generTime': 1678853610.2528205}, 'type': 'back', 'target': '50000023', 'time': 1678853643.6873283, 'similar': 0.3506912113168633}","[['20000002', 0, 1678853646.1285164], ['30000003', 100, 1678853672.411925]]"
1678853682.514588,,56734,164742734,39545568.63937525,"{'did': '20000002', 'class': '9', 'param': {'up': [['50000029', 0, 1678853610.243821], ['40000005', 100, 1678853626.6007233], ['30000003', 146, 1678853643.1561222], ['20000002', 100, 1678853646.187516]], 'generTime': 1678853610.1978204}, 'type': 'back', 'target': '50000029', 'time': 1678853646.187516, 'similar': 0.8527915164116486}","[['20000002', 0, 1678853647.544616], ['30000003', 100, 1678853682.514588]]"
1678853689.1234875,1678853610.6569486,58090,164747282,39547021.93490989,,"[['50000024', 0, 1678853610.706948], ['40000004', 100, 1678853647.863021], ['30000003', 100, 1678853686.9850762]]"
1678853690.0324838,1678853610.5138676,59988,164750755,39548063.67594894,,"[['50000029', 0, 1678853610.5569453], ['40000005', 100, 1678853649.2381687], ['30000003', 146, 1678853689.8784883]]"
1678853690.0814886,1678853610.7159448,61158,164753760,39548537.80154973,,"[['50000021', 0, 1678853610.7569468], ['40000004', 123, 1678853650.6632676], ['30000003', 100, 1678853690.0814886]]"
1678853690.1377645,1678853610.5759451,62392,164756690,39549013.74677374,,"[['50000027', 0, 1678853610.584946], ['40000005', 113, 1678853651.5673666], ['30000003', 146, 1678853690.1377645]]"
1678853690.1997657,,63074,164762595,39551105.45306256,"{'did': '20000002', 'class': '1', 'param': {'up': [['50000015', 0, 1678853610.0138688], ['40000003', 144, 1678853614.184583], ['30000002', 118, 1678853644.5763257], ['20000002', 126, 1678853648.3890166]], 'generTime': 1678853609.965821}, 'type': 'back', 'target': '50000015', 'time': 1678853648.3890166, 'similar': 0.8628708634625567}","[['20000002', 0, 1678853652.0914621], ['30000003', 100, 1678853690.1997657]]"
1678853690.266763,1678853610.2988703,64279,164767771,39551832.63735571,,"[['50000016', 0, 1678853610.3288698], ['40000003', 123, 1678853654.6936362], ['30000003', 140, 1678853690.266763]]"
1678853694.9159884,,66750,188244256,41298142.836810745,"{'did': '20000002', 'class': '7', 'param': {'up': [['50000026', 0, 1678853610.3108783], ['40000004', 117, 1678853626.7297227], ['30000003', 100, 1678853643.3201234], ['20000002', 100, 1678853647.6676166]], 'generTime': 1678853610.264821}, 'type': 'back', 'target': '50000026', 'time': 1678853647.6676166, 'similar': 0.14859997468776576}","[['20000002', 0, 1678853647.6846166], ['30000003', 100, 1678853694.9159884]]"
1678853700.3200057,,70990,204443676,46477677.04899219,"{'did': '20000002', 'class': '1', 'param': {'up': [['50000015', 0, 1678853609.9308217], ['40000002', 136, 1678853614.544678], ['30000002', 122, 1678853646.380516], ['20000002', 126, 1678853654.740636]], 'generTime': 1678853609.8918676}, 'type': 'back', 'target': '50000015', 'time': 1678853654.740636, 'similar': 0.6394431726696044}","[['20000002', 0, 1678853657.239834], ['30000003', 100, 1678853700.3200057]]"
1678853700.5880017,1678853610.6029446,71682,204445120,46478185.450626425,,"[['50000030', 0, 1678853610.642902], ['40000005', 103, 1678853657.2878342], ['30000003', 146, 1678853700.5880017]]"
1678853701.6912022,1678853610.8189452,72966,204448973,46479789.86893528,,"[['50000024', 0, 1678853610.8579464], ['40000004', 100, 1678853657.5138996], ['30000003', 100, 1678853701.690203]]"
1678853702.5525053,1678853610.6259465,74129,204454233,46481218.81694112,,"[['50000032', 0, 1678853610.6789453], ['40000005', 129, 1678853657.5588999], ['30000003', 146, 1678853702.5525053]]"
1678853715.1917877,,83288,251351550,57651217.5860897,"{'did': '20000002', 'class': '7', 'param': {'up': [['50000019', 0, 1678853610.0828223], ['40000003', 100, 1678853627.9288192], ['30000002', 118, 1678853657.3128338], ['20000002', 126, 1678853660.1280296]], 'generTime': 1678853610.0418687}, 'type': 'back', 'target': '50000019', 'time': 1678853660.1280296, 'similar': 0.35494623980572715}","[['20000002', 0, 1678853663.6048582], ['30000003', 100, 1678853715.1917877]]"
1678853717.0018892,1678853610.859944,86495,251359133,57652823.20816092,,"[['50000023', 0, 1678853610.90595], ['40000004', 101, 1678853664.0779464], ['30000003', 100, 1678853717.0018892]]"
1678853717.6119938,1678853610.8879452,93751,251368969,57657323.00769306,,"[['50000026', 0, 1678853610.9499445], ['40000004', 117, 1678853669.719521], ['30000003', 100, 1678853717.610994]]"
1678853718.4190936,,94057,251374088,57658534.02305904,"{'did': '20000003', 'class': '7', 'param': {'up': [['50000037', 0, 1678853610.7159448], ['40000006', 103, 1678853649.4891691], ['30000004', 100, 1678853661.6500955], ['20000003', 100, 1678853667.2862408]], 'generTime': 1678853610.6559477}, 'type': 'back', 'target': '50000037', 'time': 1678853667.2872424, 'similar': 0.9879541787509888}","[['20000003', 0, 1678853670.0305204], ['30000003', 176, 1678853718.4190936]]"
1678853718.9961834,1678853610.8779452,96630,251376546,57659635.63338432,,"[['50000025', 0, 1678853610.9459484], ['40000004', 105, 1678853671.887748], ['30000003', 100, 1678853718.9961834]]"
