record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853611.1181815,1678853609.8168724,1002,332,53.92188332846737,,"[['50000016', 0, 1678853609.85987], ['40000003', 123, 1678853610.6179442], ['30000002', 118, 1678853611.050177], ['20000002', 126, 1678853611.1101794]]"
1678853615.5297797,1678853609.7488685,2682,5053,1281.3615966342559,,"[['50000010', 0, 1678853609.798869], ['40000002', 109, 1678853610.8079019], ['30000002', 122, 1678853611.5202358], ['20000002', 126, 1678853611.7521815]]"
1678853624.0289392,1678853609.7658207,3322,6442,1494.588227907891,,"[['50000012', 0, 1678853609.813868], ['40000002', 100, 1678853611.0841882], ['30000002', 122, 1678853612.5428886], ['20000002', 126, 1678853616.0847795]]"
1678853626.1887236,1678853609.7778213,3972,7829,1680.693192294363,,"[['50000014', 0, 1678853609.8278687], ['40000002', 117, 1678853611.2501807], ['30000002', 122, 1678853614.324674], ['20000002', 126, 1678853624.6841314]]"
1678853626.3007228,1678853610.0678244,5844,10300,2300.7580145222896,,"[['50000023', 0, 1678853610.1288702], ['40000004', 101, 1678853611.395184], ['30000003', 100, 1678853626.1867232], ['20000002', 100, 1678853626.3007228]]"
1678853626.8107228,1678853609.90787,7536,13897,3375.5077010502064,,"[['50000020', 0, 1678853609.9638214], ['40000003', 105, 1678853611.499185], ['30000002', 118, 1678853626.697724], ['20000002', 126, 1678853626.8097239]]"
1678853626.952725,1678853610.07787,8646,15805,4173.505338944773,,"[['50000031', 0, 1678853610.1268678], ['40000005', 113, 1678853613.0498893], ['30000003', 146, 1678853626.6967225], ['20000002', 100, 1678853626.952725]]"
1678853632.9845417,1678853610.1178677,11164,20611,5580.317349087057,,"[['50000032', 0, 1678853610.1358204], ['40000005', 129, 1678853613.5309708], ['30000003', 146, 1678853626.886723], ['20000002', 100, 1678853627.7848203]]"
1678853642.4141226,1678853609.8458753,12028,21997,5824.524182579471,,"[['50000015', 0, 1678853609.876868], ['40000002', 136, 1678853612.0431817], ['30000002', 122, 1678853626.957723], ['20000002', 126, 1678853634.9527245]]"
1678853643.1161225,1678853609.8908677,12906,23380,6044.961470970049,,"[['50000018', 0, 1678853609.9708214], ['40000003', 101, 1678853612.403891], ['30000002', 118, 1678853628.5348194], ['20000002', 126, 1678853642.5561235]]"
1678853643.2171237,1678853609.949821,13626,26791,6988.152136291,,"[['50000019', 0, 1678853609.9748204], ['40000003', 100, 1678853613.2619715], ['30000002', 118, 1678853630.9322217], ['20000002', 126, 1678853643.2171237]]"
1678853643.2781234,1678853610.130869,17077,30422,7720.621509947139,,"[['50000031', 0, 1678853610.1728218], ['40000005', 113, 1678853615.5297797], ['30000003', 146, 1678853631.440222], ['20000002', 100, 1678853643.2771242]]"
1678853645.1994207,1678853610.2528205,18973,34991,9156.55713235649,,"[['50000023', 0, 1678853610.2738678], ['40000004', 101, 1678853626.3657238], ['30000003', 100, 1678853643.1561222], ['20000002', 100, 1678853643.6873283]]"
1678853647.5296164,1678853610.1978204,20042,36938,9800.214196263132,,"[['50000029', 0, 1678853610.243821], ['40000005', 100, 1678853626.6007233], ['30000003', 146, 1678853643.1561222], ['20000002', 100, 1678853646.187516]]"
1678853647.617617,1678853609.8588846,21310,40809,10339.369370337821,,"[['50000008', 0, 1678853609.8848233], ['40000002', 144, 1678853613.497972], ['30000002', 122, 1678853643.2001243], ['20000002', 126, 1678853647.617617]]"
1678853647.671615,1678853610.264821,22156,42179,10786.734916116204,,"[['50000026', 0, 1678853610.3108783], ['40000004', 117, 1678853626.7297227], ['30000003', 100, 1678853643.3201234], ['20000002', 100, 1678853647.6676166]]"
1678853647.7156649,1678853609.9458213,22926,43552,10927.129529560832,,"[['50000016', 0, 1678853610.0018697], ['40000003', 123, 1678853613.7935805], ['30000002', 118, 1678853643.8113232], ['20000002', 126, 1678853647.7156649]]"
1678853651.7953677,1678853609.965821,25309,46904,12014.389019860815,,"[['50000015', 0, 1678853610.0138688], ['40000003', 144, 1678853614.184583], ['30000002', 118, 1678853644.5763257], ['20000002', 126, 1678853648.3890166]]"
1678853654.4715395,1678853610.2728693,26433,48739,12498.248399006938,,"[['50000024', 0, 1678853610.3278716], ['40000004', 100, 1678853627.6288204], ['30000003', 100, 1678853645.7045162], ['20000002', 100, 1678853652.2164626]]"
1678853657.2288337,1678853609.8918676,27201,50625,12737.07011438076,,"[['50000015', 0, 1678853609.9308217], ['40000002', 136, 1678853614.544678], ['30000002', 122, 1678853646.380516], ['20000002', 126, 1678853654.740636]]"
1678853657.276833,1678853609.8918676,27921,52346,13184.17182318316,,"[['50000013', 0, 1678853609.9528205], ['40000002', 105, 1678853626.558723], ['30000002', 122, 1678853648.1180208], ['20000002', 126, 1678853657.276833]]"
1678853657.3258333,1678853610.3598213,28717,53714,13521.958615359556,,"[['50000024', 0, 1678853610.4158678], ['40000004', 100, 1678853631.187222], ['30000003', 100, 1678853648.7091265], ['20000002', 100, 1678853657.3258333]]"
1678853657.385881,1678853609.917869,29839,55537,13917.703279291318,,"[['50000014', 0, 1678853609.9648204], ['40000002', 117, 1678853626.727722], ['30000002', 122, 1678853651.1922667], ['20000002', 126, 1678853657.385881]]"
