record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853611.0039465,1678853610.048869,0,54258,2816.902795399725,"[['40000005', 0, 1678853610.928946], ['50000032', 129, 1678853611.0039465]]","[['50000032', 0, 1678853610.0598795], ['40000005', 129, 1678853610.4458253]]"
1678853626.3347244,1678853610.185823,0,82682,4471.470309652439,"[['40000005', 0, 1678853626.289724], ['50000032', 129, 1678853626.3347244]]","[['50000032', 0, 1678853610.2178211], ['40000005', 129, 1678853626.264724]]"
1678853643.814323,1678853610.4088736,0,120685,6263.973449693993,"[['40000005', 0, 1678853643.591229], ['50000032', 129, 1678853643.814323]]","[['50000032', 0, 1678853610.450869], ['40000005', 129, 1678853643.2101238]]"
1678853647.249616,1678853610.505869,0,122172,6978.5801358851495,"[['40000005', 0, 1678853646.7846153], ['50000032', 129, 1678853647.249616]]","[['50000032', 0, 1678853610.5338767], ['40000005', 129, 1678853643.814323]]"
1678853649.4921691,1678853610.549962,0,123668,7607.293870192036,"[['40000005', 0, 1678853649.1691225], ['50000032', 129, 1678853649.49117]]","[['50000032', 0, 1678853610.5579462], ['40000005', 129, 1678853647.7176194]]"
1678853660.8720298,1678853610.6849449,0,125870,7925.765701478911,"[['40000005', 0, 1678853660.0965643], ['50000032', 129, 1678853660.8720298]]","[['50000032', 0, 1678853610.706948], ['40000005', 129, 1678853657.5048997]]"
1678853692.9358861,1678853610.9379456,0,128791,8462.739223150558,"[['40000005', 0, 1678853692.3848412], ['50000032', 129, 1678853692.934885]]","[['50000032', 0, 1678853610.9779463], ['40000005', 129, 1678853690.2197635]]"
1678853750.4989107,1678853626.1887236,0,133865,9381.330356049908,"[['40000005', 0, 1678853750.0388122], ['50000032', 129, 1678853750.4989107]]","[['50000032', 0, 1678853626.2237246], ['40000005', 129, 1678853748.3560755]]"
1678853770.8907554,1678853626.397724,0,136825,9804.125169516004,"[['40000005', 0, 1678853770.8437552], ['50000032', 129, 1678853770.8907554]]","[['50000032', 0, 1678853626.4567237], ['40000005', 129, 1678853763.9315095]]"
1678853770.9337583,1678853626.3617234,0,137969,10348.986370466004,"[['40000006', 0, 1678853770.874756], ['50000032', 152, 1678853770.9337583]]","[['50000032', 0, 1678853626.4317243], ['40000006', 152, 1678853770.6917553]]"
1678853773.5943506,1678853626.5887227,0,139115,10776.638681342933,"[['40000005', 0, 1678853773.4203508], ['50000032', 129, 1678853773.5943506]]","[['50000032', 0, 1678853626.6227248], ['40000005', 129, 1678853770.8067553]]"
1678853804.8276515,1678853626.8847232,0,142414,11551.708122111135,"[['40000006', 0, 1678853804.3290577], ['50000032', 152, 1678853804.8276515]]","[['50000032', 0, 1678853626.9107227], ['40000006', 152, 1678853801.7190943]]"
1678853821.8155246,1678853610.1178677,0,144096,11958.2175800788,"[['20000002', 0, 1678853634.9582088], ['30000003', 100, 1678853658.5758994], ['40000005', 146, 1678853821.4395263], ['50000032', 129, 1678853821.8155246]]","[['50000032', 0, 1678853610.1358204], ['40000005', 129, 1678853613.5309708], ['30000003', 146, 1678853626.886723], ['20000002', 100, 1678853627.7848203]]"
