direction,start time,end time,pack time,pack num,pack chars,assistant num
recv,1678853765.0926564,1678853765.4206567,0.3280003070831299,8,2206,30000004
recv,1678853778.8910336,1678853779.154187,0.2631533145904541,6,2058,30000004
recv,1678853779.2901878,1678853779.380186,0.08999824523925781,6,1989,30000004
recv,1678853785.0841634,1678853786.3082652,1.2241017818450928,6,1914,30000004
recv,1678853788.8061383,1678853789.6992886,0.8931503295898438,13,3648,30000004
recv,1678853790.5864732,1678853790.97567,0.38919687271118164,10,2875,30000004
