record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.313868,1678853610.108868,0,7498,608.0998201471394,"[['40000006', 0, 1678853610.2848675], ['50000035', 103, 1678853610.313868]]","[['50000035', 0, 1678853610.1198688], ['40000006', 103, 1678853610.2518208]]"
1678853611.237131,1678853610.2598214,0,41828,2618.0428762612305,"[['40000006', 0, 1678853611.1871805], ['50000035', 103, 1678853611.237131]]","[['50000035', 0, 1678853610.269821], ['40000006', 103, 1678853610.7079532]]"
1678853615.9947793,1678853610.319868,0,52268,3775.2197887609445,"[['40000006', 0, 1678853615.5917792], ['50000035', 103, 1678853615.99378]]","[['50000035', 0, 1678853610.3768759], ['40000006', 103, 1678853611.7171817]]"
1678853626.4587245,1678853610.3698206,0,62056,4215.590328517622,"[['40000006', 0, 1678853626.3597236], ['50000035', 103, 1678853626.4587245]]","[['50000035', 0, 1678853610.4288697], ['40000006', 103, 1678853626.265723]]"
1678853637.9634447,1678853610.5308723,0,81388,5805.0198387077235,"[['40000006', 0, 1678853637.6834455], ['50000035', 103, 1678853637.9634447]]","[['50000035', 0, 1678853610.5739455], ['40000006', 103, 1678853631.1372213]]"
1678853646.4055164,1678853610.5869453,0,95990,6667.669734488396,"[['40000006', 0, 1678853646.300518], ['50000035', 103, 1678853646.4055164]]","[['50000035', 0, 1678853610.6169457], ['40000006', 103, 1678853643.3751237]]"
1678853649.1641226,1678853610.6559477,0,108252,7295.419248852229,"[['40000006', 0, 1678853648.7581277], ['50000035', 103, 1678853649.1641226]]","[['50000035', 0, 1678853610.7149446], ['40000006', 103, 1678853647.7056172]]"
1678853663.449859,1678853610.7719455,0,114883,8115.487258025186,"[['40000006', 0, 1678853663.1228576], ['50000035', 103, 1678853663.449859]]","[['50000035', 0, 1678853610.8319461], ['40000006', 103, 1678853658.9189792]]"
1678853669.5314019,1678853610.832946,0,116015,8625.749268462901,"[['40000006', 0, 1678853669.186403], ['50000035', 103, 1678853669.5314019]]","[['50000035', 0, 1678853610.871946], ['40000006', 103, 1678853665.1230462]]"
1678853669.8615203,1678853610.1968205,0,117427,8873.73304089045,"[['30000004', 0, 1678853610.8089468], ['40000006', 100, 1678853669.7545216], ['50000035', 103, 1678853669.8615203]]","[['50000035', 0, 1678853610.2178211], ['40000006', 103, 1678853610.615945], ['30000004', 100, 1678853610.7778995]]"
