record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796196.4872105,1678796195.4920335,0,15210,1164.1425863130337,"[['40000003', 0, 1678796196.454299], ['50000017', 109, 1678796196.4872105]]","[['50000017', 0, 1678796195.5406318], ['40000003', 109, 1678796195.9247777]]"
1678796196.8213909,1678796195.5236769,0,16348,1505.0394877189763,"[['40000003', 0, 1678796196.7901943], ['50000017', 109, 1678796196.8213909]]","[['50000017', 0, 1678796195.5695553], ['40000003', 109, 1678796196.077137]]"
1678796196.9446998,1678796195.556591,0,17482,1641.4989227635645,"[['40000003', 0, 1678796196.9117458], ['50000017', 109, 1678796196.9446998]]","[['50000017', 0, 1678796195.6004732], ['40000003', 109, 1678796196.2886736]]"
1678796208.8871562,1678796195.4192262,0,18872,1984.5077441418223,"[['30000002', 0, 1678796196.0611808], ['40000003', 118, 1678796208.181844], ['50000017', 109, 1678796208.8871562]]","[['50000017', 0, 1678796195.4661], ['40000003', 109, 1678796195.75135], ['30000002', 118, 1678796196.0175045]]"
1678796211.3322675,1678796195.4521372,0,20280,2671.233634800885,"[['30000002', 0, 1678796196.168031], ['40000003', 118, 1678796211.285394], ['50000017', 109, 1678796211.3322675]]","[['50000017', 0, 1678796195.494026], ['40000003', 109, 1678796195.9097602], ['30000002', 118, 1678796196.1510756]]"
1678796216.0434065,1678796195.8017237,0,21686,3088.2476100059175,"[['30000003', 0, 1678796215.3216221], ['40000003', 140, 1678796215.745248], ['50000017', 109, 1678796216.0434065]]","[['50000029', 0, 1678796195.8487637], ['40000005', 100, 1678796208.7016518], ['30000003', 146, 1678796212.411269]]"
