record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.448875,1678853610.070869,0,15840,677.7364832456371,"[['40000006', 0, 1678853610.4018693], ['50000034', 113, 1678853610.448875]]","[['50000034', 0, 1678853610.116868], ['40000006', 113, 1678853610.3308756]]"
1678853610.613947,1678853610.1968205,0,26537,1331.8137345028667,"[['40000006', 0, 1678853610.5709603], ['50000034', 113, 1678853610.613947]]","[['50000034', 0, 1678853610.21882], ['40000006', 113, 1678853610.425868]]"
1678853612.6538854,1678853610.2578201,0,66118,3382.957582691451,"[['40000006', 0, 1678853612.3747919], ['50000034', 113, 1678853612.6538854]]","[['50000034', 0, 1678853610.2978241], ['40000006', 113, 1678853610.8879452]]"
1678853624.1489394,1678853610.3598213,0,67250,3803.0586802094153,"[['40000006', 0, 1678853623.680935], ['50000034', 113, 1678853624.1489394]]","[['50000034', 0, 1678853610.411872], ['40000006', 113, 1678853615.854781]]"
1678853631.440222,1678853610.1178677,0,109519,6663.798501510006,"[['30000004', 0, 1678853610.5108697], ['40000006', 100, 1678853631.2152224], ['50000034', 113, 1678853631.440222]]","[['50000034', 0, 1678853610.1528206], ['40000006', 113, 1678853610.4458253], ['30000004', 100, 1678853610.4998696]]"
1678853643.3571234,1678853610.5479448,0,123124,7477.098292847466,"[['40000006', 0, 1678853643.3081224], ['50000034', 113, 1678853643.3571234]]","[['50000034', 0, 1678853610.585945], ['40000006', 113, 1678853643.196123]]"
1678853657.3328347,1678853610.7439501,0,125335,8112.177267915824,"[['40000006', 0, 1678853657.2548327], ['50000034', 113, 1678853657.3328347]]","[['50000034', 0, 1678853610.7559462], ['40000006', 113, 1678853655.7896354]]"
1678853684.7633564,1678853610.9379456,0,127179,8608.945384475554,"[['40000006', 0, 1678853684.6238742], ['50000034', 113, 1678853684.7633564]]","[['50000034', 0, 1678853610.990945], ['40000006', 113, 1678853682.514588]]"
1678853751.6220098,1678853626.2147243,0,133316,10199.981331236362,"[['40000006', 0, 1678853751.134912], ['50000034', 113, 1678853751.6220098]]","[['50000034', 0, 1678853626.253724], ['40000006', 113, 1678853750.4659102]]"
1678853820.6148741,1678853643.1231236,0,139865,11871.055038321634,"[['40000006', 0, 1678853820.3088727], ['50000034', 113, 1678853820.6148741]]","[['50000034', 0, 1678853643.1641233], ['40000006', 113, 1678853818.7036011]]"
