record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796195.6164305,1678796195.325441,987,430,68.62247890408665,,"[['50000010', 0, 1678796195.3413982], ['40000002', 109, 1678796195.5256717], ['30000002', 122, 1678796195.6164305]]"
1678796195.7571478,1678796195.356358,1794,2197,359.51947629415315,,"[['50000011', 0, 1678796195.3733134], ['40000002', 101, 1678796195.7079237], ['30000002', 122, 1678796195.7571478]]"
1678796196.0175045,1678796195.4192262,3453,6423,1813.079291545419,,"[['50000017', 0, 1678796195.4661], ['40000003', 109, 1678796195.75135], ['30000002', 118, 1678796196.0175045]]"
1678796196.1510756,1678796195.4521372,4211,8021,2278.613298010698,,"[['50000017', 0, 1678796195.494026], ['40000003', 109, 1678796195.9097602], ['30000002', 118, 1678796196.1510756]]"
1678796196.3954551,1678796195.386313,5859,11683,3767.41446885662,,"[['50000014', 0, 1678796195.4052632], ['40000002', 117, 1678796195.9379933], ['30000002', 122, 1678796196.3954551]]"
1678796196.517837,1678796195.4661,7101,14624,4805.465673553662,,"[['50000016', 0, 1678796195.5107112], ['40000003', 123, 1678796196.1359782], ['30000002', 118, 1678796196.517837]]"
1678796196.6540563,1678796195.5082092,8451,17825,5551.57666545398,,"[['50000021', 0, 1678796195.5256717], ['40000003', 117, 1678796196.3335528], ['30000002', 118, 1678796196.6540563]]"
1678796196.7911913,1678796195.509714,10152,22858,7198.640546511552,,"[['50000019', 0, 1678796195.557587], ['40000003', 100, 1678796196.485215], ['30000002', 118, 1678796196.7911913]]"
1678796210.6515758,1678796195.5426269,16549,40800786,16152415.49915083,,"[['50000019', 0, 1678796195.58651], ['40000003', 100, 1678796196.851585], ['30000002', 118, 1678796210.6505785]]"
1678796211.388368,1678796195.5705519,18584,40808099,16154475.083997997,,"[['50000019', 0, 1678796195.6154325], ['40000003', 100, 1678796197.3382523], ['30000002', 118, 1678796211.388368]]"
1678796211.9383922,1678796195.5885067,21120,40816860,16156415.58374098,,"[['50000018', 0, 1678796195.6623065], ['40000003', 101, 1678796199.4832888], ['30000002', 118, 1678796211.9383922]]"
1678796213.3583074,1678796195.5256717,24409,40830213,16159295.055305095,,"[['50000014', 0, 1678796195.5266697], ['40000002', 117, 1678796200.957621], ['30000002', 122, 1678796213.3583074]]"
1678796215.072285,1678796195.483055,25766,40836009,16160335.361958494,,"[['50000015', 0, 1678796195.5236769], ['40000002', 136, 1678796201.974925], ['30000002', 122, 1678796215.072285]]"
1678796218.275323,1678796195.5127068,28052,40864991,16166922.574038582,,"[['50000012', 0, 1678796195.5705519], ['40000002', 100, 1678796205.181763], ['30000002', 122, 1678796218.275323]]"
1678796231.7719173,,28755,221752817,35901394.907005206,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000011', 0, 1678796195.4920335], ['40000002', 101, 1678796197.2455347], ['30000002', 122, 1678796212.1685758], ['20000002', 126, 1678796212.3488486]], 'generTime': 1678796195.4780674}, 'type': 'back', 'target': '50000011', 'time': 1678796212.3488486, 'similar': 0.9193872809725986}","[['20000002', 0, 1678796212.3631878], ['30000002', 126, 1678796231.7719173]]"
1678796232.1419313,,28755,221754569,35901845.97476905,"{'did': '20000002', 'class': '5', 'param': {'up': [['50000010', 0, 1678796195.5117095], ['40000002', 109, 1678796199.5189364], ['30000002', 122, 1678796215.0088136], ['20000002', 126, 1678796216.1671305]], 'generTime': 1678796195.4950244}, 'type': 'back', 'target': '50000010', 'time': 1678796216.1671305, 'similar': 0.6898167426714555}","[['20000002', 0, 1678796216.307754], ['30000002', 126, 1678796232.1419313]]"
1678796232.3881433,,28755,221757104,35902251.271805525,"{'did': '20000002', 'class': '1', 'param': {'up': [['50000020', 0, 1678796195.7531238], ['40000003', 105, 1678796201.6265345], ['30000002', 118, 1678796217.6486168], ['20000002', 126, 1678796217.6794915]], 'generTime': 1678796195.6772664}, 'type': 'back', 'target': '50000020', 'time': 1678796217.6794915, 'similar': 0.14187685086936863}","[['20000002', 0, 1678796217.6950524], ['30000002', 126, 1678796232.3881433]]"
1678796232.6339564,,28755,221759246,35902538.01324911,"{'did': '20000002', 'class': '7', 'param': {'up': [['50000015', 0, 1678796195.5535982], ['40000002', 136, 1678796204.7411246], ['30000002', 122, 1678796218.8447664], ['20000002', 126, 1678796218.873425]], 'generTime': 1678796195.5117095}, 'type': 'back', 'target': '50000015', 'time': 1678796218.873425, 'similar': 0.4063296613774128}","[['20000002', 0, 1678796219.0305552], ['30000002', 126, 1678796232.6339564]]"
1678796233.000778,,28755,221761779,35903067.6442217,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000022', 0, 1678796195.7242212], ['40000004', 109, 1678796196.8656092], ['30000003', 100, 1678796207.6137104], ['20000002', 100, 1678796208.0401847]], 'generTime': 1678796195.649341}, 'type': 'back', 'target': '50000022', 'time': 1678796208.0401847, 'similar': 0.8638084923944652}","[['20000002', 0, 1678796208.5590696], ['30000002', 126, 1678796233.000778]]"
1678796233.1257603,,28755,221764740,35903481.6713101,"{'did': '20000002', 'class': '4', 'param': {'up': [['50000013', 0, 1678796195.556591], ['40000002', 105, 1678796202.9376564], ['30000002', 122, 1678796218.4714136], ['20000002', 126, 1678796218.549344]], 'generTime': 1678796195.5256717}, 'type': 'back', 'target': '50000013', 'time': 1678796218.549344, 'similar': 0.5123938787694959}","[['20000002', 0, 1678796218.5620637], ['30000002', 126, 1678796233.1257603]]"
1678796233.2479925,,28755,221766488,35903630.696090214,"{'did': '20000001', 'class': '8', 'param': {'up': [['50000007', 0, 1678796195.6473467], ['40000001', 161, 1678796207.7244227], ['30000001', 100, 1678796212.1187267], ['20000001', 102, 1678796222.8229508]], 'generTime': 1678796195.5875065}, 'type': 'back', 'target': '50000007', 'time': 1678796222.8229508, 'similar': 0.12463952728640793}","[['20000001', 0, 1678796222.8658369], ['30000002', 153, 1678796233.2479925]]"
1678796233.3712795,,28755,221769071,35903829.30329289,"{'did': '20000002', 'class': '0', 'param': {'up': [['50000027', 0, 1678796195.7827003], ['40000005', 113, 1678796201.9450157], ['30000003', 146, 1678796211.9065719], ['20000002', 100, 1678796212.076819]], 'generTime': 1678796195.7242212}, 'type': 'back', 'target': '50000027', 'time': 1678796212.076819, 'similar': 0.44401330562145946}","[['20000002', 0, 1678796212.0917783], ['30000002', 126, 1678796233.370282]]"
1678796233.4945762,,28755,221771644,35904006.10392312,"{'did': '20000002', 'class': '8', 'param': {'up': [['50000018', 0, 1678796195.723224], ['40000003', 101, 1678796200.70729], ['30000002', 118, 1678796217.1484406], ['20000002', 126, 1678796217.4327073]], 'generTime': 1678796195.649341}, 'type': 'back', 'target': '50000018', 'time': 1678796217.4327073, 'similar': 0.23018980085260998}","[['20000002', 0, 1678796217.4606395], ['30000002', 126, 1678796233.4945762]]"
