direction,start time,end time,pack time,pack num,pack chars,assistant num
recv,1678853690.1367638,1678853690.2127643,0.07600045204162598,6,1798,40000001
recv,1678853691.6178446,1678853692.2284439,0.6105992794036865,2,655,40000001
recv,1678853695.7455342,1678853696.0055342,0.25999999046325684,2,655,40000001
recv,1678853698.3878329,1678853699.041931,0.6540980339050293,6,1717,40000001
recv,1678853701.7192008,1678853702.9075048,1.1883039474487305,6,1662,40000001
recv,1678853705.1354852,1678853705.634485,0.49899983406066895,6,1717,40000001
recv,1678853707.14178,1678853707.8598773,0.718097448348999,4,1148,40000001
recv,1678853713.109488,1678853714.2226882,1.1132001876831055,6,1633,40000001
recv,1678853715.360787,1678853715.9537897,0.5930027961730957,6,1662,40000001
recv,1678853717.7979937,1678853718.5340903,0.7360966205596924,6,1726,40000001
recv,1678853723.859558,1678853724.8537266,0.9941685199737549,6,1674,40000001
recv,1678853729.147267,1678853729.612264,0.4649968147277832,3,921,40000001
recv,1678853734.2865646,1678853734.6435645,0.35699987411499023,2,546,40000001
recv,1678853742.743965,1678853744.925269,2.1813039779663086,6,1670,40000001
recv,1678853748.9631763,1678853748.9967911,0.0336148738861084,1,222,40000001
recv,1678853749.9448068,1678853750.4639118,0.5191049575805664,6,1812,40000001
recv,1678853751.4460127,1678853753.1691046,1.7230918407440186,6,1662,40000001
recv,1678853766.5967503,1678853766.830751,0.23400068283081055,5,1444,40000001
send,1678853774.768547,1678853775.5786448,0.8100976943969727,6,2616,['20000001']
send,1678853777.0687442,1678853777.941916,0.8731718063354492,6,2081,['20000001']
recv,1678853778.4089336,1678853778.960033,0.5510993003845215,6,1652,40000001
send,1678853779.247186,1678853779.3401875,0.0930016040802002,6,3464,['20000001']
send,1678853779.6141858,1678853780.8315463,1.217360496520996,6,2154,['20000001']
send,1678853781.7083821,1678853782.6323812,0.9239990711212158,6,1992,['20000001']
send,1678853783.5634816,1678853785.0851648,1.5216832160949707,6,1982,['20000001']
send,1678853786.9099917,1678853788.2389896,1.3289978504180908,6,1935,['20000001']
send,1678853789.920335,1678853791.0076697,1.0873346328735352,6,2070,['20000001']
recv,1678853801.8440921,1678853801.9051926,0.06110048294067383,3,804,40000001
recv,1678853803.6389592,1678853804.3970573,0.7580981254577637,5,1444,40000001
recv,1678853806.175283,1678853806.2712834,0.09600043296813965,1,254,40000001
recv,1678853807.021892,1678853807.6589906,0.6370985507965088,6,1652,40000001
recv,1678853819.8073008,1678853820.2858737,0.4785728454589844,6,1825,40000001
recv,1678853821.3034263,1678853821.8465247,0.5430984497070312,3,804,40000001
recv,1678853823.3436224,1678853823.750718,0.40709567070007324,6,1615,40000001
recv,1678853827.8166962,1678853828.157696,0.3409998416900635,4,1193,40000001
recv,1678853841.9754963,1678853842.4914978,0.5160014629364014,6,1643,40000001
recv,1678853848.383448,1678853848.4104495,0.027001619338989258,3,718,40000001
recv,1678853871.724393,1678853871.7863932,0.062000274658203125,2,493,40000001
