record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678796196.1669967,1678796195.4930282,0,13757,1061.4730741655142,"[['40000003', 0, 1678796196.1070564], ['50000020', 105, 1678796196.1669967]]","[['50000020', 0, 1678796195.5087137], ['40000003', 105, 1678796195.77146]]"
1678796207.3611348,1678796195.7417853,0,15971,1660.8291770148958,"[['40000003', 0, 1678796207.0465608], ['50000020', 105, 1678796207.3611348]]","[['50000020', 0, 1678796195.8163066], ['40000003', 105, 1678796200.2866805]]"
1678796215.5736797,1678796195.5535982,0,17641,2368.2956735047287,"[['20000002', 0, 1678796199.8899803], ['30000003', 100, 1678796211.5130885], ['40000003', 140, 1678796215.4782026], ['50000020', 105, 1678796215.5736797]]","[['50000020', 0, 1678796195.5705519], ['40000003', 105, 1678796196.6375875], ['30000002', 118, 1678796198.5090675], ['20000002', 126, 1678796199.08915]]"
1678796218.720078,1678796195.6154325,0,19321,2606.887926620983,"[['20000002', 0, 1678796216.8225448], ['30000003', 100, 1678796218.563022], ['40000003', 140, 1678796218.6722076], ['50000020', 105, 1678796218.720078]]","[['50000020', 0, 1678796195.6802583], ['40000003', 105, 1678796200.2218885], ['30000002', 118, 1678796216.308752], ['20000002', 126, 1678796216.6829093]]"
1678796232.5866165,1678796195.6772664,0,21009,2726.63198875473,"[['20000002', 0, 1678796217.6950524], ['30000002', 126, 1678796232.419211], ['40000003', 118, 1678796232.5104954], ['50000020', 105, 1678796232.5866165]]","[['50000020', 0, 1678796195.7531238], ['40000003', 105, 1678796201.6265345], ['30000002', 118, 1678796217.6486168], ['20000002', 126, 1678796217.6794915]]"
